PrimaryKey,ORIG_OID
#13_pre_el_medio_2017-04-09_36.67447_-105.60112_r,1
#13_pre_el_medio_2017-04-10_36.67447_-105.60112_r,2
#2_pre_2017-04-05_36.6652_-105.6019_r,3
06051514053759212006-04-19,4
06051514053759212007-03-09,5
06080810072516012005-07-08,6
06080810075645512005-07-08,7
06080810083136962005-07-08,8
06080810091353762005-07-11,9
06080810101858682005-07-11,10
06080810101858682006-12-26,11
06080810104836312005-07-11,12
06080810115521172005-07-11,13
06080810122077672005-07-11,14
06080810125223512005-07-11,15
0608081013269552005-07-13,16
06080810140723982005-07-13,17
06080810143750172005-07-13,18
06080810151619892005-07-15,19
06080810154486462005-07-15,20
06080810161390122005-07-13,21
06080810164510462005-07-15,22
06080810202092592005-07-15,23
06080810205047152005-07-19,24
06080810212461432005-07-19,25
06080810220026862005-07-19,26
06080810224129002005-07-20,27
06080810230885472005-07-20,28
06080810234926652005-07-20,29
06080810242382912005-07-21,30
06080810245241232005-07-21,31
06080810251920282005-07-21,32
06080810255161422005-07-28,33
06080810273436282005-07-21,34
06080810280667372005-07-26,35
06080810291010912005-07-26,36
06080810293245642005-07-28,37
06080810300148482005-07-28,38
06080810321675682005-08-02,39
06080810323972452005-08-02,40
0608081033162362005-08-02,41
06080810333655502005-08-03,42
06080810340689142005-08-03,43
06080810343358732005-08-03,44
06080810350366322005-08-03,45
06080810352918062005-08-03,46
06080810360033932005-08-03,47
06080810375988652005-08-08,48
06080810390855232005-08-08,49
06080810395180532005-08-08,50
06080810445234682005-07-05,51
06081113144416852006-05-22,52
06081113203669802006-05-22,53
060811132617982006-05-22,54
06081113314180412006-05-22,55
06081113422953892006-05-23,56
06081113464776502006-05-23,57
06081113574354472006-05-23,58
06081114103090542006-05-25,59
06081114160932362006-05-23,60
06081114232425572006-05-24,61
06081114334247402006-05-24,62
06081114453326872006-05-24,63
06081114524561022006-05-24,64
06081115014995712006-02-25,65
06081115014995712006-05-25,66
06081115093575362006-05-25,67
06081115093575362007-02-07,68
0608111515207342006-06-20,69
0608111515207342007-02-08,70
06081115231717862006-06-07,71
06081115231717862007-02-08,72
06081116332713192006-06-20,73
06081116381153962006-06-20,74
06081116405969902006-06-23,75
06081116515485532006-06-23,76
06081116515485532007-02-13,77
06081116555425622006-06-23,78
06081116555425622007-02-13,79
06081411171893522006-06-30,80
0608141124325382006-06-30,81
06081412161339112006-06-30,82
06081412215634542006-07-03,83
06081412342474282006-07-03,84
06081412435832362006-07-10,85
06081412460221052006-07-10,86
06081413081588132006-07-06,87
06081413280297182006-07-11,88
06081413374290242006-07-11,89
06081413432782652006-07-11,90
06081413472329032006-07-20,91
06081413472329032007-02-22,92
06081413515367902006-07-20,93
06081413555726742006-07-10,94
06081414051613612006-07-10,95
06081414095726662006-07-19,96
06081414150178552006-07-19,97
06081414202595882006-07-20,98
06081414251917262006-07-26,99
06081414333399032006-07-19,100
06081414393588082006-07-19,101
06081414393588082007-02-26,102
06081414475697512006-07-26,103
06081414475697512007-02-26,104
06081414523221302006-07-26,105
06081414523221302007-02-26,106
06120814362872812005-11-09,107
06120815585579102005-11-09,108
06121313432696712005-07-06,109
06121315384456242005-07-15,110
07030910354042592006-04-19,111
0703091041286752006-04-19,112
07030910474450112006-04-20,113
07030910514155672006-04-20,114
07030911314372412006-04-20,115
07030911462583082006-04-24,116
07030911555248942006-04-24,117
07030912070235642006-04-25,118
0703091308068842006-04-25,119
0703091321188632006-05-08,120
07040515471583972007-03-13,121
09010103235631742013-09-01,122
0901011610171312017-09-01,123
09010117174769542017-09-01,124
09010120473596262017-09-01,125
09010501560188412016-09-01,126
1000000032018-09-01,127
1000000302018-09-01,128
1000000692018-09-01,129
1000000772018-09-01,130
1000000962018-09-01,131
1000001012018-09-01,132
10080311024652362013-09-01,133
10080311024652362014-09-01,134
10080311024652362015-09-01,135
10092315213026782013-09-01,136
10092315213026782014-09-01,137
10092315213026782015-09-01,138
10092315213026782016-09-01,139
10092315213026782021-09-01,140
101C2021-05-26,141
101C2022-06-02,142
101T2021-05-25,143
101T2022-06-02,144
102C2022-06-10,145
102T2021-06-01,146
102T2022-05-27,147
103C2021-05-28,148
103C2022-05-22,149
103T2021-06-01,150
103T2022-06-06,151
104C2021-05-28,152
104C2022-05-22,153
104T2021-06-14,154
104T2022-06-10,155
105C2022-06-09,156
105T2021-06-18,157
105T2022-06-08,158
1104200745377252011-09-01,159
11042008552272892011-09-01,160
11042008585711082011-09-01,161
11042009020572852011-09-01,162
11042009075061312011-09-01,163
11042009090399292011-09-01,164
1104200917109942011-09-01,165
11042009184592572011-09-01,166
11042009204581502011-09-01,167
11042009231362432011-09-01,168
11042009272673642011-09-01,169
11042009285146052011-09-01,170
