FID_PrescribedFires002,USGS_Assigned_ID,Assigned_Fire_Type,Fire_Year,Fire_Polygon_Tier,Fire_Attribute_Tiers,GIS_Acres,GIS_Hectares,Source_Datasets,Listed_Fire_Types,Listed_Fire_Names,Listed_Fire_Codes,Listed_Fire_IDs,Listed_Fire_IRWIN_IDs,Listed_Fire_Dates,Listed_Fire_Causes,Listed_Fire_Cause_Class,Listed_Rx_Reported_Acres,Listed_Map_Digitize_Methods,Listed_Notes,Processing_Notes,Wildfire_Notice,Prescribed_Burn_Notice,Wildfire_and_Rx_Flag,Overlap_Within_1_or_2_Flag,Circleness_Scale,Circle_Flag,Exclude_From_Summary_Rasters,FirePolyID,Shape_Length,Shape_Area
11,99067,Prescribed Fire,1998,6,6 (3),11932.961910184356384,4829.098354448414284,Comb_National_MTBS (3),Prescribed Fire (3),"LONG GULCH (1), BISHOP CRE (1), BABY CANYO (1)",No code provided (3),"AZ3427211199419980714 (1), AZ3423911199519980713 (1), AZ3424211204019980712 (1)",,"Listed Prescribed Fire Start Date(s): 1998-07-14 (1), 1998-07-13 (1), 1998-07-12 (1)",Unknown (3),Undetermined (3),,MTBS (3),,,"Wildfire mapping prior to 1984 was inconsistent, infrequent, and done without the aid of more modern fire mapping methods (GPS and satellite imagery). Areas burned prior to 1984 in this dataset represent only a fraction of what actually burned. While areas burned on or after 1984 are much more accurate and complete, errors still can and do occur. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all wildfires burned during the time period it represents.","Prescribed fire data in this dataset represents only a fraction of the area burned in prescribed burns across all years due to lack of reporting, particularly on private lands. The missing prescribed burn data becomes more pronounced further back in time, particularly in the southeastern U.S.; however, errors and omissions still occur through the most recent years in this dataset. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all prescribed burns burned during the time period it represents.",,,0.073974684450073,,No,2873,94077.772923957105377,34284382.534099563956261
13,99100,Prescribed Fire,1998,6,6 (1),2594.206159464368739,1049.837985745801916,Comb_National_MTBS (1),Prescribed Fire (1),MESA (1),No code provided (1),AZ3414411212419980710 (1),,Listed Prescribed Fire Start Date(s): 1998-07-10 (1),Unknown (1),Undetermined (1),,MTBS (1),,,"Wildfire mapping prior to 1984 was inconsistent, infrequent, and done without the aid of more modern fire mapping methods (GPS and satellite imagery). Areas burned prior to 1984 in this dataset represent only a fraction of what actually burned. While areas burned on or after 1984 are much more accurate and complete, errors still can and do occur. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all wildfires burned during the time period it represents.","Prescribed fire data in this dataset represents only a fraction of the area burned in prescribed burns across all years due to lack of reporting, particularly on private lands. The missing prescribed burn data becomes more pronounced further back in time, particularly in the southeastern U.S.; however, errors and omissions still occur through the most recent years in this dataset. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all prescribed burns burned during the time period it represents.",,,0.187559463923283,,No,2875,26521.408318721147225,10498379.857458019629121
28,99529,Prescribed Fire,2001,6,6 (2),8151.818007991394552,3298.923705987594985,Comb_National_MTBS (2),Prescribed Fire (2),"TANK CANYO (1), AGUA FRIA (1)",No code provided (2),"AZ3420811203820010628 (1), AZ3420911211020010626 (1)",,"Listed Prescribed Fire Start Date(s): 2001-06-28 (1), 2001-06-26 (1)",Unknown (2),Undetermined (2),,MTBS (2),,,"Wildfire mapping prior to 1984 was inconsistent, infrequent, and done without the aid of more modern fire mapping methods (GPS and satellite imagery). Areas burned prior to 1984 in this dataset represent only a fraction of what actually burned. While areas burned on or after 1984 are much more accurate and complete, errors still can and do occur. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all wildfires burned during the time period it represents.","Prescribed fire data in this dataset represents only a fraction of the area burned in prescribed burns across all years due to lack of reporting, particularly on private lands. The missing prescribed burn data becomes more pronounced further back in time, particularly in the southeastern U.S.; however, errors and omissions still occur through the most recent years in this dataset. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all prescribed burns burned during the time period it represents.",,,0.174828701105124,,No,2892,48613.669810078805313,32930832.780672371387482
47,100391,Prescribed Fire,2005,6,6 (1),2926.669539676029217,1184.381142288039200,Comb_National_MTBS (1),Prescribed Fire (1),BROADCAST05 (1),No code provided (1),AZ3425211208520050519 (1),,Listed Prescribed Fire Start Date(s): 2005-05-19 (1),Unknown (1),Undetermined (1),,MTBS (1),from NAIP imagery  fire perimeter closely follows roads. (1),,"Wildfire mapping prior to 1984 was inconsistent, infrequent, and done without the aid of more modern fire mapping methods (GPS and satellite imagery). Areas burned prior to 1984 in this dataset represent only a fraction of what actually burned. While areas burned on or after 1984 are much more accurate and complete, errors still can and do occur. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all wildfires burned during the time period it represents.","Prescribed fire data in this dataset represents only a fraction of the area burned in prescribed burns across all years due to lack of reporting, particularly on private lands. The missing prescribed burn data becomes more pronounced further back in time, particularly in the southeastern U.S.; however, errors and omissions still occur through the most recent years in this dataset. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all prescribed burns burned during the time period it represents.",,,0.499175254643087,,No,2911,17267.288686451680405,11843811.422880390658975
48,100400,Prescribed Fire,2005,6,"6 (1), 8 (14)",2721.631841988345059,1101.405329915887705,"Comb_National_MTBS (1), Comb_National_Rx_Only_BLM_VTRT_Prescribed_Fire (14)",Prescribed Fire (15),"BULL CANYON PRESCRIBED BURN (1), Bull Canyon (14)",No code provided (15),"NV3967811487420050821 (1), JD43 (14)",,Listed Prescribed Fire Start Date(s): 2005-08-21 (15) | Listed Prescribed Fire End Date(s): 2005-09-20 (14) | Listed Upload Date(s): 2020-05-01 (14),"Unknown (1), Human (14)","Undetermined (1), Human (14)",,MTBS (1),,,"Wildfire mapping prior to 1984 was inconsistent, infrequent, and done without the aid of more modern fire mapping methods (GPS and satellite imagery). Areas burned prior to 1984 in this dataset represent only a fraction of what actually burned. While areas burned on or after 1984 are much more accurate and complete, errors still can and do occur. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all wildfires burned during the time period it represents.","Prescribed fire data in this dataset represents only a fraction of the area burned in prescribed burns across all years due to lack of reporting, particularly on private lands. The missing prescribed burn data becomes more pronounced further back in time, particularly in the southeastern U.S.; however, errors and omissions still occur through the most recent years in this dataset. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all prescribed burns burned during the time period it represents.",,,0.294434161035436,,No,2912,21681.255163155961782,11014053.299158876761794
56,101302,Prescribed Fire,2007,6,6 (1),1397.194102763585533,565.424392810822269,Comb_National_MTBS (1),Prescribed Fire (1),RX BURN 07 M (1),No code provided (1),AZ3418011207820070606 (1),,Listed Prescribed Fire Start Date(s): 2007-06-06 (1),Unknown (1),Undetermined (1),,MTBS (1),,,"Wildfire mapping prior to 1984 was inconsistent, infrequent, and done without the aid of more modern fire mapping methods (GPS and satellite imagery). Areas burned prior to 1984 in this dataset represent only a fraction of what actually burned. While areas burned on or after 1984 are much more accurate and complete, errors still can and do occur. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all wildfires burned during the time period it represents.","Prescribed fire data in this dataset represents only a fraction of the area burned in prescribed burns across all years due to lack of reporting, particularly on private lands. The missing prescribed burn data becomes more pronounced further back in time, particularly in the southeastern U.S.; however, errors and omissions still occur through the most recent years in this dataset. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all prescribed burns burned during the time period it represents.",,,0.057699354874109,,No,2921,8736.050970780666830,312542.811090070521459
65,102207,Prescribed Fire,2009,6,6 (1),1274.241368850877961,515.667186722194288,Comb_National_MTBS (1),Prescribed Fire (1),SILVER RX (1),No code provided (1),AZ3427411201820090609 (1),,Listed Prescribed Fire Start Date(s): 2009-06-09 (1),Unknown (1),Undetermined (1),,MTBS (1),,,"Wildfire mapping prior to 1984 was inconsistent, infrequent, and done without the aid of more modern fire mapping methods (GPS and satellite imagery). Areas burned prior to 1984 in this dataset represent only a fraction of what actually burned. While areas burned on or after 1984 are much more accurate and complete, errors still can and do occur. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all wildfires burned during the time period it represents.","Prescribed fire data in this dataset represents only a fraction of the area burned in prescribed burns across all years due to lack of reporting, particularly on private lands. The missing prescribed burn data becomes more pronounced further back in time, particularly in the southeastern U.S.; however, errors and omissions still occur through the most recent years in this dataset. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all prescribed burns burned during the time period it represents.",,,0.335154626038887,,No,2930,9934.151839831036341,430925.779175958188716
109,106465,Prescribed Fire,1983,7,7 (1),792.377766534694047,320.663905346789477,Comb_National_Rx_Only_LTDL_Imp_Broadcast_Burns (1),Prescribed Fire (1),Barracks_Point_Chaining_1983 (1),No code provided (1),,,Listed Prescribed Fire End Date(s): 1983-12-16 (1),Human (1),Human (1),600.0 (1),,,,"Wildfire mapping prior to 1984 was inconsistent, infrequent, and done without the aid of more modern fire mapping methods (GPS and satellite imagery). Areas burned prior to 1984 in this dataset represent only a fraction of what actually burned. While areas burned on or after 1984 are much more accurate and complete, errors still can and do occur. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all wildfires burned during the time period it represents.","Prescribed fire data in this dataset represents only a fraction of the area burned in prescribed burns across all years due to lack of reporting, particularly on private lands. The missing prescribed burn data becomes more pronounced further back in time, particularly in the southeastern U.S.; however, errors and omissions still occur through the most recent years in this dataset. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all prescribed burns burned during the time period it represents.",,,0.056727450430491,,No,2974,26652.216857328072365,3206639.053467893972993
113,106475,Prescribed Fire,1983,7,7 (1),521.978696204882681,211.237283909270843,Comb_National_Rx_Only_LTDL_Imp_Broadcast_Burns (1),Prescribed Fire (1),Bundy_Mountain_Trumbull_Seeding_1964 (1),No code provided (1),,,Listed Prescribed Fire Start Date(s): 1983-07-14 (1) | Listed Prescribed Fire End Date(s): 1983-07-15 (1),Human (1),Human (1),120.0 (1),,,,"Wildfire mapping prior to 1984 was inconsistent, infrequent, and done without the aid of more modern fire mapping methods (GPS and satellite imagery). Areas burned prior to 1984 in this dataset represent only a fraction of what actually burned. While areas burned on or after 1984 are much more accurate and complete, errors still can and do occur. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all wildfires burned during the time period it represents.","Prescribed fire data in this dataset represents only a fraction of the area burned in prescribed burns across all years due to lack of reporting, particularly on private lands. The missing prescribed burn data becomes more pronounced further back in time, particularly in the southeastern U.S.; however, errors and omissions still occur through the most recent years in this dataset. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all prescribed burns burned during the time period it represents.",,,0.576958078961081,,No,2978,3341.960436805299196,1293.559229319061160
185,107126,Prescribed Fire,1996,7,7 (1),1987.089942934841929,804.146769745231495,Comb_National_Rx_Only_LTDL_Imp_Broadcast_Burns (1),Prescribed Fire (1),Mount_Trumbull_RCA_Ponderosa_Pine_Ecosystem_Restoration_1996 (1),No code provided (1),,,,Human (1),Human (1),1987.38 (1),,,,"Wildfire mapping prior to 1984 was inconsistent, infrequent, and done without the aid of more modern fire mapping methods (GPS and satellite imagery). Areas burned prior to 1984 in this dataset represent only a fraction of what actually burned. While areas burned on or after 1984 are much more accurate and complete, errors still can and do occur. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all wildfires burned during the time period it represents.","Prescribed fire data in this dataset represents only a fraction of the area burned in prescribed burns across all years due to lack of reporting, particularly on private lands. The missing prescribed burn data becomes more pronounced further back in time, particularly in the southeastern U.S.; however, errors and omissions still occur through the most recent years in this dataset. This dataset represents the most complete set of digitized polygon fire data available to the public that we, the authors, were able to collect. It is not a complete collection of all prescribed burns burned during the time period it represents.",,,0.033774163475236,,No,3050,41173.283442378407926,15790.451226112141740
