FID_TrtPoly009,Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID,FID_MLRA,MLRA_ID,MLRARSYM,MLRA_NAME,LRRSYM,LRR_NAME,Shape_Length,Shape_Area
407,4381,12238,11/5/2009,11/5/2009,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,3959,72,72,60A,Pierre Shale Plains,G,Western Great Plains Range and Irrigated Region,9656.092911741532589,3140737.264988774899393
408,4381,12235,9/7/2010,9/7/2010,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,3960,72,72,60A,Pierre Shale Plains,G,Western Great Plains Range and Irrigated Region,7924.739640785068332,1933013.592265551444143
376,4091,11514,6/6/1967,6/7/1967,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,3685,49,49,44B,Central Rocky Mountain Valleys,E,Rocky Mountain Range and Forest Region,30480.530928579810279,13368667.579310676082969
599,6700,18467,6/4/2009,6/13/2009,Prescribed Burn,Prescribed Burn,Prescribed Burn,6143,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,7852.012522717854154,1023550.055499361478724
1031,11804,31895,5/13/2010,5/15/2010,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,10823,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,13861.567819788015186,5508092.213742091320455
1032,11805,31897,5/2/2013,5/2/2013,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,10824,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,11326.355310268316316,6648014.818035766482353
1033,11806,31899,4/9/2012,5/18/2012,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,10826,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,19764.735992310448637,13557001.298668831586838
1969,25846,73373,9/19/1999,9/26/1999,Prescribed Burn,Prescribed Burn,Prescribed Burn,30420,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,18578.941619696310227,11962137.934733426198363
1971,25868,73395,4/7/2004,4/14/2004,Prescribed Burn,Prescribed Burn,Prescribed Burn,30442,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,28446.759639298274124,6974169.920700326561928
1974,25898,73425,4/21/2014,4/28/2014,Prescribed Burn,Prescribed Burn,Prescribed Burn,30472,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,6335.670146408827350,154317.694041870301589
1975,25899,73426,4/9/2015,4/28/2015,Prescribed Burn,Prescribed Burn,Prescribed Burn,30473,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,23677.191155877571873,909581.366026083938777
1976,25901,73428,7/28/2016,7/28/2016,Prescribed Burn,Prescribed Burn,Prescribed Burn,30475,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,11083.454780868891248,4979785.592704186215997
1977,25902,73429,5/3/2018,5/17/2018,Prescribed Burn,Prescribed Burn,Prescribed Burn,30476,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,55555.767505783202068,26889780.331305544823408
1978,25904,73431,5/11/2019,5/14/2019,Prescribed Burn,Prescribed Burn,Prescribed Burn,30478,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,60070.295602633224917,11730705.192861815914512
1979,25905,73432,4/25/2019,5/2/2019,Prescribed Burn,Prescribed Burn,Prescribed Burn,30479,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,15567.777508308465258,229916.578265576274134
