Trt_Type_Major,Trt_Type_Sub,Treatment_Type
Biological Control,Animal Control,Animal Control: Horse Gather
Biological Control,Animal Control,Insect and Rodent Control
Biological Control,Animal Control,Insect and Rodent Control: Biological Control
Biological Control,Animal Control,Insect and Rodent Control: Ground Application of Control Substance
Biological Control,Biological Control,Biological Control: Biological Fence
Biological Control,Biological Control,Biological Control: Plant Control
Biological Control,Grazing,Grazing Management
Biological Control,Grazing,Grazing Management: Livestock Trample
Biological Control,Grazing,Grazing Management: Plant Control
Closure/Exclosure,Closure,"Closures (OHV, Livestock, Area): Area Closure"
Closure/Exclosure,Closure,"Closures (OHV, Livestock, Area): Livestock Closure"
Closure/Exclosure,Closure,"Closures (OHV, Livestock, Area): OHV Closure"
Closure/Exclosure,Closure,"Closures (OHV, Livestock, Area): Protective Fence"
Closure/Exclosure,Closure,"Closures (OHV, Livestock, Area): Signs"
Closure/Exclosure,Exclosure,Exclosure
Closure/Exclosure,Exclosure,Exclosure: Experimental Seed
Closure/Exclosure,Exclosure,Exclosure: Fence
Cultural Protection,Cultural Protection,Cultural Protection (Stabilization/Patrol)
Cultural Protection,Cultural Protection,Cultural Protection (Stabilization/Patrol): Cultural Site Patrol
Cultural Protection,Cultural Protection,Cultural Protection (Stabilization/Patrol): Cultural Site Stabilization
Cultural Protection,Cultural Protection,Cultural Protection (Stabilization/Patrol): Cultural Survey
Facilities/Fences/Roads,Facilities/Improvements,Facilities/Improvements
Facilities/Fences/Roads,Facilities/Improvements,Facilities/Improvements: Construction of Reservoir
Facilities/Fences/Roads,Facilities/Improvements,Facilities/Improvements: Habitat Structures
Facilities/Fences/Roads,Facilities/Improvements,Facilities/Improvements: Road Repair/Maintenance
Facilities/Fences/Roads,Fence/Cattle Guard,Protective Fence / Gate
Facilities/Fences/Roads,Fence/Cattle Guard,Protective Fence / Gate: Removal
Facilities/Fences/Roads,Fence/Cattle Guard,Protective Fence / Gate: Temporary
Facilities/Fences/Roads,Fence/Cattle Guard,Repair Fence / Gate
Facilities/Fences/Roads,Fence/Cattle Guard,Repair Fence / Gate: Permanent
Facilities/Fences/Roads,Road/Trail,Road / Trail Water Diversion
Facilities/Fences/Roads,Road/Trail,Road / Trail Water Diversion: Ditching
Facilities/Fences/Roads,Road/Trail,Road / Trail Water Diversion: Water Bars
Herbicide/Weeds/Chemical,Chemical,Chemical: Fertilization
Herbicide/Weeds/Chemical,Herbicide,Herbicide Application
Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control
