Model,Ecoregion,Treatment,Trt_ID,Prj_ID,Plan_Imp,Success,Dates_Confirmed,Init_Date,Comp_Date,Units,Num_Units,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,Treatment_Seeded,Seed_List,Seed_Mix_Name,Seeds_or_Seedlings,Seed_List_Confirmed,Control_Areas,Seed_Application_Rate,Seed_Notes,Objectives,Planned_Implementation,Actual_Implementation,Treatment_Effect_and_Results,Trt_Feature_Type,Feature_Status,How_Feature_Created,Feature_Creation_Date,Total_Acres,BLM_Acres,GIS_Notes,Initiated_By,Trt_Concerns,Trt_Concerns_Desc,Problems_Apply_Trt,Problems_Apply_Trt_Desc,Conditions_At_Trt,Conditions_At_Trt_Desc,Trt_Notes,User_Updated
Model 12,Nothern Basin and Range,Drill seeding,914,334,Implemented,Unknown,2,5/25/1967,3/7/1968,Acres,3450,Seeding,Drill Seeding,Ground Seeding: Drill,-1,Confirmed seed list,Drill Mix,Seeds,Confirmed on Paper,Unknown,Species Specific,"4:.5 lbs. of Agcr. (Nordon Crested Wheatgrass), 91.97. purity, 93.O%\r\ngermination, origin Idaho, drilled per acre with one double and one\r\ntriple Rangeland Drill hook-ups pulled with D-7 cats. 400 1bs. of\r\nMeof, (yellow sweet clover), was drilled at a rate of .5#/acre at the\r\nbeginning of seeding operations. (Ran out of seed).",,,"4.5  lbs. of Agcr. (Nordon Crested Wheatgrass), 91.97. purity, 93.0%\r\ngermination, origin Idaho, drilled per acre with one double and one\r\ntriple Rangeland Drill hook-ups pulled with D-7 cats. 400 1bs. of\r\nMeof, (yellow sweet clover), was drilled at a rate of .5 #/acre at the\r\nbeginning of seeding operations. (Ran out of seed). Seeding started\r\n10/23/67 and was completed 1/25/68. Brush hidden rocks and boulders\r\ncoupled with junipers made drilling a difficult job. Cost exceeded\r\nestimate.",,Polygon,Confirmed,Digitized by LTDL data entry personnel using a map of unknown origin,8/16/2010,3620.851521,2806.055953,,BLM and Cooperators,None,,None,,None,,Seeding date differ from completion report.,37:58:00
Model 12,Nothern Basin and Range,Drill seeding,1362,507,Implemented,None,1,00/00/1967,00/00/1968,Acres,3610,Seeding,Drill Seeding,Ground Seeding: Drill,-1,Planned seed list,,Seeds,Plan,Unknown,Species Specific,Seed list is estimated from project estimate.,,Crested cheatgrass '.fill be seeded at a rate of seven pounds per acre by rangeland\r\ndrills. This project estimate revises and supersedes the one 1-19-66.,,,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",,14096.89881,13407.6225,,Contractor,"Watershed degradation, Rangeland health, Provide forage for livestock","To establish a desirable and productive grass cover on an area that is presently in a depleted condition. This will increase the grazing capacity of the area, help stabilize the soil, and provide needed deferment of the adjoining range during the early stage of growth. The net result should be an over-all increase in watershed protection.",None,,None,,Seed mix is estimated from project estimate.,22:47:00
Model 12,Nothern Basin and Range,Drill seeding,2270,822,Implemented,Unknown,2,9/8/1959,11/28/1959,Acres,1667,Seeding,Drill Seeding,Ground Seeding: Drill,-1,Confirmed seed list,seed mix,Seeds,Confirmed on Paper,Unknown,Unknown,"The seed mix did not indicate whether bulk or PLS rates were used, therefore, unknown has been listed and all seed mix information has been entered into the Bulk category.",Sagebrush eradication,"The Cooperator agrees to furnish a caterpillar tractor, fuel for operation of said tractor, tractor operator and necessary incidentals to drill approximately 25 acres of brush land to crested wheatgrass on the project known as the Berger Brush Control Reseeding. Work to be completed by December 1, 1959.\nThe Bureau agrees to furnish 150 lbs. of crested wheatgrass seed and the use of three brushland drills for the project.\nThe Cooperator agrees to maintain and repair all equipment.",The land was seeded to crested wheatgrass by using brushland drills. The BLM furnished the seed and drills and the contributors the labor and tractor.,Unknown,Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,7/21/2020,1350.55,1350.38,,BLM and Cooperators,"Other (See Trt Notes), Brush control, Establishment of seeded species, Loss of desirable species, Sagebrush, Seedbed preparation, Vegetal cover",Sagebrush eradication,Unknown,,Unknown,,There is a discrepency on area size. BLM GIS indicates its much larger than the planned treatment acreage.,27:54:00
Model 12,Nothern Basin and Range,Drill seeding,4471,1598,Implemented,Unknown,2,10/00/2005,10/00/2005,Acres,610,Seeding,Drill Seeding,Ground Seeding: Drill,-1,Confirmed seed list,,Seeds,Confirmed on Paper,Unknown,Species Specific,Seed Mix is a combination of Buckbrush (610 ac) and Westfall (210 ac) seedings.,"The proposed project is to remove the vegetation from within the Buck brush and Westfall seeding's. The vegetation, primarily sagebrush with an understory of cheatgrass will be removed with a brush beater and then reseeded using a rangeland drill.",,,,Polygon,Confirmed,"Digitized by BLM field office personnel, using a GPS unit on the ground",,617.4447608,585.2094151,,,None,"The proposed project is to remove the vegetation from within the Buckbrush and Westfall seedings. The vegetation, primarily sagebrush with an understory of cheatgrass will be removed with a brushbeater and then reseeded using a rangeland drill.",None,,None,,,03:53:00
Model 12,Nothern Basin and Range,Drill seeding,4558,1635,Implemented,None,2,00/00/1973,00/00/1973,Acres,4960,Seeding,Drill Seeding,Ground Seeding: Drill,-1,Confirmed seed list,,Seeds,Confirmed on Paper,Unknown,Species Specific,,"Buckskin spray/seed is intended to relieve grazing pressure on their\r\nwatersheds, improve stream banks for trout habitat and enhance the public\r\nland management situation in the IS-Mile Community Allotment .",,,,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",,5605.288551,5605.298182,,Contractor,"Watershed degradation, Provide forage for livestock, Overgrazing, Erosion","The development will be used by the Whitehorse\r\nRanch in their individual allotment. Forage developed will be utilized\r\nin a manner that will relieve livestock pressure on browse in the Trout\r\nCreek Mountains and along Willow and Whitehorse Creeks, which are inhabited\r\nby the rare and endangered Alvord Trout .\r\nBoth creeks are excessively muddy during peak runoff periods. The\r\nBuckskin spray/seed is intended to relieve grazing pressure on their\r\nwatersheds, improve stream banks for trout habitat and enhance the public\r\nland management situation in the IS-Mile Community Allotment .",None,,None,,,16:25:00
Model 12,Nothern Basin and Range,Drill seeding,4653,1667,Implemented,None,2,8/25/1961,9/25/1961,Acres,4831,Seeding,Drill Seeding,Ground Seeding: Drill,-1,Confirmed seed list,seed mix,Seeds,Confirmed on Paper,Unknown,Unknown,"The seed mix did not indicate whether bulk or PLS rates were used, therefore, unknown has been listed and all seed mix information has been entered into the Bulk category.","Seed crested wheatgrass seed into sprayed brush islands to eliminate the beet leafhopper host plants of mustard, halogeton, and Russian thistle.",,"Seed crested wheatgrass seed into sprayed brush islands to eliminate the beet leafhopper host plants of mustard, halogeton, and Russian thistle.",,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",,7401.152227,6752.778391,,,Other (See Trt Notes),"Seed crested wheatgrass seed into sprayed brush islands to eliminate the beet leafhopper host plants of mustard, halogeton, and Russian thistle.",None,,None,,,51:10:00
Model 12,Nothern Basin and Range,Drill seeding,5874,2148,Implemented,None,2,3/25/1986,4/9/1986,Acres,7685,Seeding,Drill Seeding,Ground Seeding: Drill,-1,Confirmed seed list,Areas D and E,Seeds,Confirmed on Paper,,,The seed mixture consisted of some leftover seed from the BOP seeding near Grand View (F260) plus some other added seed. The alfalfa was inoculated with Dormal dry inoculant and all seed was pre-mixed.,"The project consisted of 1,685 acres of rangeland drill seeding.","Areas D & E - Consisted of 3,875 acres of rangeland drill seeding south of the Three Creek Highway.","6/20/88:  The seedings (the Siberian Wheatgrass and the Intermediate wheatgrass) looked poor to fair to me. Some Nomad alfalfa was found, but no fourwing saltbush were found.\r\n\r\nIn the spot were I took a photo plot, the native bluebunch wheatgrass and Idaho Fescue looked very good. Other native species were Sandberg bluegrass, squirreltail, a little rabbitbrush, and some Wyoming sagebrush. Also, the soils were more rocky. This may have been the problem with the drilling, in this site.\r\n\r\nThe cheatgrass competition is still light.",,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",,7539.133067,7207.447362,,Contractor,"Erosion, Provide cover for wildlife, Provide forage for wildlife, Loss of Perenials, Invasion by Cheatgrass, Habitat for antelope, Habitat for mule deer, Habitat for sage grouse, Watershed degradation","The seed mixtures for the seeding consisted of seed that was available at the time and seed left over from other seedings since this was the last seeding to be approved for the extremely busy season. Therefore, many of the seed mixtures contained small quantities of seed not originally planned for House Creek. The project was divided into six areas to cover different prescriptions for the variation in soil types, precipitation and other needs. Some were combined during seeding due to lack of seed.\r\n\r\nIn the first year, wind erosion would increase slightly on the treatment areas compared to the protection only and no action alternatives because of the added surface disturbance caused by drilling. However, by the end of two years, grazing tolerant, fire resistant vegetation would be established on the treatment areas, and long-term soil stability would be much improved over either of the alternatives. Within three years, a 50-60% canopy cover is expected. By the end of four growing seasons, soil cover would be essentially complete, and bare ground would be much reduced compared to the pre-burn vegetation on the treated areas. Pollution and sedimentation of the Cedar Creek Reservoir would be much reduced compared to the two alternatives. The sediment would be trapped in the Black Canyon and Rocky Canyon drainages. Wind and water erosion on existing seedings would be minimal.\r\n\r\nOn the drilled treatment areas, a mixture of perennial grasses, forbs, and shrubs will be established rather than a predominance of cheatgrass. The perennial grasses which have been emphasized in the seed mix will be compatible with existing seeded grasses. Intermediate wheatgrass has been emphasized on suitable sites where it would be used during the summer. Crested wheatgrass has been emphasized where use is predominantly in spring and fall. The fourwing saltbush would restore a shrub component which would be valuable both for late summer cattle grazing and for winter deer grazing. The alfalfa would enrich the dietary protein content of both livestock and wildlife, especially during the critical late summer period. A low incidence of reburns would be maintained, further depletion of perennial species would be prevented, and big sagebrush could return in time to provide wildlife habitat. Overstocking and low vigor of perennial grasses based upon\r\ndrastic increases in cheatgrass production would be prevented. Forage production would be greatly increased compared to pre-burn levels.\r\n\r\nOn the aerially seeded wildlife habitat areas, sagebrush canopy cover and suitable stand height would be reestablished far more rapidly and uniformly than natural successions and variability in sagebrush seed survival would allow. The crucial mule deer wintering habitat and sage grouse nesting and brooding habitat would be out of production for a much shorter period. The Magnar wildrye, because of its tall stature, would enhance wildlife cover as well as forage availability. The burnet, alfalfa, and pubescent wheatgrass would greatly improve crude protein availability for pregnant mule deer does in early spring on a major wintering area.\r\n\r\nThe proposed action would allow existing seedings to regain their vigor, with little long-term impact upon plant density or productivity. Minor areas of burned native range would have an increased composition of cheatgrass.\r\n\r\nBecause of limitations of time and equipment availability and delays caused by the budgetary process, this seeding will probably not be completed before May 1, 1986. While this greatly increases the probability of seeding failure, the project is located in a 12+ inch precipitation area, and has a better chance of growing season moisture and ultimate success than any of the other Jarbidge RA fire rehabilitation plans for 1985 fires. Failure to seed will result in a vegetation, i.e., cheatgrass, which will meet only one of the special objectives of this plan and will irreversibly foreclose future range management and wildlife habitat options.",None,,None,,,09:20:00
Model 12,Nothern Basin and Range,Drill seeding,6882,2499,Implemented,Unknown,2,7/31/1973,12/27/1974,Acres,3930,Seeding,Drill Seeding,Ground Seeding: Drill,-1,Confirmed seed list,Clover Flat Mix 1,Seeds,Confirmed on Paper,Unknown,Species Specific,,Seed 4000 acres in northern portion of the burn where cheatgrass and weeds are the predominate vegetation.,"Seeding will commence as soon as possible preferably by October 1 and must be completed prior to December 1. Normally after December 1, the ground is frozen and seed coverage is not possible.","JDR shows 3,930 acres completed.",Unknown,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",,4071.71,4069.99,,BLM,"Loss of vegetation, Noxious Weeds, Habitat for wildlife, Livestock in treated area, Forage for livestock, Erosion, Hazardous fuels reduction","Seeding the 4000 acres in the north end of the burn would provide a perennial cover which would enhance watershed protection, wildlife habitat, and livestock forage production. Future fire suppression cost would be reduced substantially. This alternative is much more costly than alternative #1. After establishment of the seeding and adequate rest for the balance of the burn, the fences would allow full implementation of the Devil Creek AMP.\r\n\r\nThe seeding will stabilize soil and restore vegetation to the burned area. Also, the perennial grasses will reduce future fire hazards to this area. The area is susceptible to cheatgrass invasion.\r\n\r\nThe establishment of perennial grass would provide multiple use benefits\r\nto all resource uses on the national resource lands.\r\nThe proposed perennial grass mixture will enhance wildlife habitat\r\nand improve quantity and quality of livestock forage.\r\nThe fine textured soils that are very susceptible to wind erosion will\r\nbe protected from the high winds which frequent the area.\r\nThe seeding will create a fire break and greatly reduce the chances of\r\nfuture fires in this area.",,,,,"Material Costs: $11,200\r\nLabor/Equipment Cost: $12,840.",22:05:00
Model 12,Nothern Basin and Range,Drill seeding,9085,3247,Implemented,None,2,2/11/2000,3/31/2000,Acres,14161,Seeding,Drill Seeding,Ground Seeding: Drill,-1,Confirmed seed list,,Seeds,Confirmed on Paper,Unknown,Species Specific,,,,"The drill seeding was completed by three contractors to complete 25,268 acres. Contractor Bill Doty, Contract No.NDC000010, Task Order No.FCD000010 #6 completed 14,161 acres drill\r\nseed. Work started on 2/11/00. The contractor used four rangeland tractors, four drill carts and twelve rangeland drills. The completion was 3/31/00. The seed mixture used on above drill seeding was the Dust Control mix. Distribution was 8.2lb/acre for a total of 116,000 pounds of seed. This project took place in the East Denio - Bilk Creek Allotment. The project Inspector on this was Gil Rivas.",,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",,16854.29823,16798.6845,,Contractor,None,,None,,None,,,21:55:00
Model 12,Nothern Basin and Range,Drill seeding,10232,3646,Implemented,Unknown,2,00/00/1969,10/00/1969,Acres,4850,Seeding,Drill Seeding,Ground Seeding: Drill,-1,Planned seed list,Duhaime Seeding -- Crested Wheatgrass,,Plan,,,,Increase available forage for pronghorn antelope and livestock.,,,,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",,4271.420519,4129.697412,,Contractor,None,,None,,None,,,36:23:00
