Model,Ecoregion,Treatment,LO_notes,Trt_ID,Prj_ID,Plan_Imp,Success,Dates_Confirmed,Init_Date,Comp_Date,Units,Num_Units,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,Treatment_Seeded,Seed_List,Seed_Mix_Name,Seeds_or_Seedlings,Seed_List_Confirmed,Control_Areas,Seed_Application_Rate,Seed_Notes,Objectives,Planned_Implementation,Actual_Implementation,Treatment_Effect_and_Results,Trt_Feature_Type,Feature_Status,How_Feature_Created,Feature_Creation_Date,Total_Acres,BLM_Acres,GIS_Notes,Initiated_By,Trt_Concerns,Trt_Concerns_Desc,Problems_Apply_Trt,Problems_Apply_Trt_Desc,Conditions_At_Trt,Conditions_At_Trt_Desc,Trt_Notes,User_Updated
Model 24,Central Basin and Range,Prescribed burn,,4364,1550,Implemented,See Comments,2,4/9/1985,4/9/1985,Acres,1884,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,0,,,,,,,,"- - - - - JDR - - - - -\r\n\r\nPlanned: 3767 acres for FY 83.\r\n\r\n- - - - - Burn Report - - - - \r\n\r\n...to manipulate the vegetation within the ""Brush Field&& (3,767 acres) via a prescribed burn.",See burn plan for details (hyperlink).,"- - - - - JDR - - - - \r\n\r\nCompleted: 1884 acres in FY 85.\r\n\r\n- - - - - Burn Report - - - - \r\n\r\nJohn Christensen and Ken Fuller started a test fire along the interstate on the north east corner of the burn area. At first the wind was not good enough to carry the burn. However, when the wind did gust, the flames would burn sagebrush. This was a factor to the decision to burn, knowing that as the heat of the day and temperatures rose we would get a better burn. \r\n\r\nThe plan was to burn a black line along the interstate to prevent smoke from being a problem to the traffic on the interstate. \r\n\r\nThe sagebrush had not shown sign of new growth yet. However, the grasses had 3/4"" to 1&& of new growth under the dead. (This pasture had been rested for three years before burning and had maximum ground fuels to carry the fire).\r\n\r\nThe wind, at the start, was out of the southwest, 6 to 8 mph, making little or no problem to the travel on the interstate. It was important to burn a black line around the perimeter of the burn plan area.\r\n\r\nThe mid day weather at 1400 hrs. was: temperature - 73 deg., wind - 8 mph, NW., R.H. - 26%. Where heavy sagebrush, the fire burned very hot and moved at about 2 to 3 mph. This made a very controllable burn with somewhat cold fire over most of the area. In fact, seventeen head of antelope remained within the perimeter of the burn area during the burning operation. \r\n\r\nThe sagebrush was soft and still had seed buds on with little or no new growth showing. The ground moisture was high, however, dry at the top two inches.\r\n\r\nAfter strip firing the edges, we had to move into the middle of the southern portion of the planned burn to aid in getting the fire to cover the total area, because of the limited of day light hours, also to get it done before the evening R.H. and lower . temperatures came up.\r\n\r\nIt was important having the Area Manager and Wildlife Biologist on the burn to make on-the-spot management decisions as to &&leave areas&& and the percent of burn. Also, important to have fire personnel and equipment on the burn to guide the lighting operation and safety of the crews.\r\n\r\nFair weather cumulus clouds formed over the area of the burn. It was limited to half- dozen over a very large area. The fair weather cumulus did not show vertical development and did not produce precipitation during the burning operation. There was little sign of instability with ground wind shift from northwest to east, this, however, was a good deal because it carried the flames away from the interstate to the west side of the burn area, which was already black lined.","- - - - - Burn Report - - - - -\r\n\r\nThe burn was designed to directly effect the composition of brush on 60 percent of the subject area and leave 40 percent as is. This was accomplished because of the following factors:\r\n\r\nThe sagebrush had not started to show new growth and the seeds were still on, therefore, the reduction of sagebrush cover was reached. The ground moisture was very high at about one inch in depth below dry ground level. This gave protection to the root systems of the grasses and forbs. The grass had new growth of one to two inches along with the ground moisture, gave strong recovery right after the burn. In fact, the new growth, five days after the burn, left a very green cover of grass and forb with the removable of sagebrush. Because of the strong regrowth shortly after the burn, the watershed was stable and will have little erosion.\r\n\r\nThe burn location had roads all the way around it, making the use of heavy equipment not needed. Also, because of the non-use of heavy equipment, cultural clearance was not needed.\r\n\r\nThe project area had been rested for three full growing seasons giving good ground cover to carry the fire. This being a spring burn, the first growing season will be the same year of the burn. The winds were just right to keep the smoke from becoming a problem on the interstate along the east edge of the project area.",Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,11/30/2012,2869.095608,2847.751375,,BLM and Cooperators,"Erosion, Provide forage for livestock, Provide forage for wildlife",Should reduce the amount of brush in this field and increase forage available to livestock and wildlife for utilization.,None,,None,,This burn was originally planned as a chain and seed.,43:01:00
Model 24,Central Basin and Range,Prescribed burn,,4761,1714,Implemented,Unknown,2,7/20/2004,10/25/2004,Acres,1155,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,0,,,,,,,,"A.  Create numerous small irregular sized holes or patches within the total treatment unit.\r\nB.  No more than 20% of individual burned holes or patches are greater than 75 acres.\r\nC.  Individual burn blocks would be no larger than 150 acres within a given treatment block.\r\nD.  Within a given burn treatment unit, no more than 70% of the vegetation is burned.\r\nE.  Burn holes and patches are irregularly shaped.  \r\nF.  Mechanical construction of control lines is minimized--subject to initial firing results and effectiveness of foam lines as effective barriers to escaped fire.\r\nG.  Fire intensity is moderate or less over 60% of the burned area.","Two units of 400 and 167 acres each were burned during the first two weeks of August\r\n2004. The burn prescription called for creating numerous small, irregular-sized patches that were no more than 75 acres in size. No more than 70% of each unit was to be burned; no more than 60% of the acres burned would have a severe fire intensity.","At the Bullwhack study site, while manipulative treatments successfully reduced shrubs and trees and increased forbs, grass cover did not demonstrate a significant treatment response.  The treatments did fragment the woody fuel continuity and converted shrub-tree, shrub, and shrub-grass dominant areas to\r\nherbaceous dominant areas. This was particularly true in burned areas where sagebrush was eliminated, but was also a significant result in mechanically treated areas.","Both fire and mechanical treatments significantly reduced shrub cover.  The prescribed burn was severe enough to completely remove mature big sagebrush (Artemisia tridentata Nutt.) the dominant shrub, from all burned plots; not even shrub skeletons remained.  While fire and mechanical treatments did reduce both shrub and tree cover, neither\r\nmanipulation significantly affected grass cover",Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",00/00/0000,755.9452353,755.8939701,,,"Habitat for sage grouse, Threatened Species",Protect and/or maintain high-value sage grouse habitat.  The project area includes some of the most diverse ancl ecologically important sage grouse habitat in the Ely District. The loss of this community to catastrophic large fire ould seriously impact the condition of sage grouse populations in this area.\r\n\r\nA reconnaissance survey for pygmy rabbits would be conducted prior to burning to detect the presence of this species.,None,,None,,"The polygons associated with this treatment, uploaded from the BLM GIS data,  were labeled as ""Accomplished"" in the attribute table.",0:56:00
Model 24,Central Basin and Range,Prescribed burn,,11497,4084,Implemented,See Comments,2,3/1/2008,4/30/2008,Acres,105,Prescribed Burn,Prescribed Burn,Prescribed Burn: Pile Burn,0,,,,,,,,"The purpose of this project was to establish a fire management experiment and demonstration\r\nsite that addressed significant local knowledge gaps hindering the management of pinyon woodland\r\nfuels within lands managed by the BLM Bishop Field Office. The need for this information is not\r\nunique to the Bishop Field Office, or even adjacent Inyo National Forest lands, but rather is typical of\r\ninformation needed by federal, state, and other land managers throughout the Intermountain West.","Cut-Remove-Burn Slash\r\n\u2022 All pinyon trees encountered in the treatment plot would be treated.\r\n\u2022 Treatment would be accomplished by cutting selected Class 1 (youngest) trees at ground level using lopping shears or chainsaws, and cutting Class 2 and 3 trees at ground level using a chainsaw.\r\n\u2022 Limbs and boles would be hand-piled. Hand piles would be burned when safe conditions permit. Where practicable, bole material may be left unpiled for local residents to hand-collect for use as firewood for home heating.","The cutting and piling part of the cut/pile/burn treatment was conducted in fall 2006 by hand crews using chain saws. The piles were left in place for one year to allow the material to sufficiently dry and subsequently burned in the winter of 2007. Thinning treatments targeted all tree size classes for removal, although 11 of the most mature trees in a plot were left standing for aesthetic reasons.","Final Report: The cost for mastication treatment was $738 per acre, while the cut/pile/burn treatment costs\r\ntotaled $439 per acre ($339 per acre for contractors cutting and piling, plus ~$100 per acre for BLM\r\nemployees burning the piles). However, since the thinning treatments were applied on small-scale study\r\nplots, they are not representative of typical costs. For recent management-scale mastication treatments\r\nconducted by Bishop BLM, costs range from ~$400 per acre for low tree encroachment, ~$600 per\r\nacres for moderate tree encroachment, and ~$800\u20131000 per acre for high tree encroachment.\r\nManagement-scale cut/pile/burn treatment costs range from ~$150 per acre for low tree encroachment,\r\n~$350 per acre for moderate tree encroachment, and ~$600 per acre for high tree encroachment for the\r\ncutting and piling, plus ~$60 per acre for burning. BLM\u2019s planning costs are not included in these\r\nestimates; however, planning effort is similar for the different thinning techniques and levels of tree\r\nencroachment.\r\n\r\nMANAGEMENT IMPLICATIONS\r\nThinning Approaches\r\nBoth thinning treatments were equally effective at reducing the target fuels which were mature,\r\nlive pinyon trees. Application costs though differed substantially, with the cut/pile/burn technique much\r\ncheaper even though that technique required chain saw crews consisting of multiple people as opposed\r\nto a masticator operated by a single individual.\r\nVegetation Responses\r\nIn general, thinning treatments stimulated the abundance of herbaceous vegetation, although in\r\nsome cases the strength of the stimulation appeared to be constrained by the level of pre-treatment tree\r\nencroachment. Increases in perennial grass cover and density in response to thinning were usually\r\ngreatest at lower levels of pre-treatment pinyon dominance, while native annual forb density and cover\r\nresponded fairly equally along the tree-dominance gradient. The rapid recovery of annual forb\r\nvegetation in sites with high pinyon abundance didn\u2019t appear to be constrained by a lack of seed source,\r\nwhich is a particular concern for managers when applying treatments within highly tree-encroached\r\nshrublands. However, our findings suggest a lack of adequate seed sources and/or existing individuals\r\nappears to be limiting the initial response of perennial grasses in areas with high tree encroachment. At\r\nthe higher levels of tree dominance, perennial grass cover within the thinning treatments did start to\r\nexceed the control by 3 years post-treatment, while perennial grass density was still similar or slightly\r\nlower than the controls. This seems to suggest that the thinning-induced increase in perennial grass\r\ncover within areas of high tree dominance is mainly due to an increase in growth of individuals present\r\nprior to the treatment, as opposed to an increase due to the recruitment of new individuals.\r\n\r\nShrub abundance exhibited a steep decline in response to tree encroachment and the response to\r\nthinning treatments appeared more subtle. Shrub cover within the control decreased slightly during the\r\n3 post-treatment years, while it increased slightly within both thinning treatment. The response of\r\nslower-growing plants such as shrubs will need to be evaluated during future years to determine\r\ndifferences between thinning treatments.\r\nSpecies richness within the two thinning treatments steadily increased relative to the control over\r\nthe course of the 3 years following treatment, and the response was similar in both thinning treatments.\r\nSpecies richness was also consistent across the pinyon-dominance gradient, which suggests that the\r\nability for vegetation to recover at this location may not be significantly limited by a lack of seed\r\navailability or lack of species diversity within highly tree-encroached shrublands. At this location, the\r\ndistances between phase very low and very high tree-encroached areas are on the order of 100s of\r\nmeters, which may not be enough to limit seed dispersal into areas of high tree cover.\r\nFuel-bed Responses\r\nBoth thinning treatments equally affected the target fuels, standing live pinyon trees. The cover\r\nof herbaceous live fuels (perennial and annual forbs and grasses) and live woody fuels (live shrubs and\r\ntrees) were also similar between the two thinning treatments and higher than the control. The greatest\r\ndifference in fuel structure between the two fuel treatments appeared to be dead woody fuel loads\u2014\r\nmastication clearly resulted in greater fine fuel loads (1\u2013100 hour fuels) as well as the shredded woody\r\nparticles. The stimulation of live herbaceous cover\u2014especially at lower pre-treatment pinyon\r\ndominance\u2014may have important implications for fire spread by enhancing the continuity of surface\r\nfuels, especially during dry years.",Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,3/14/2015,104.0548479,104.054893,,BLM,"Experimental study, Wildland Urban Interface, Invasion by cheatgrass","The purpose of this project was to establish a fire management experiment and demonstration\r\nsite that addressed significant local knowledge gaps hindering the management of pinyon woodland\r\nfuels within lands managed by the BLM Bishop Field Office. The need for this information is not\r\nunique to the Bishop Field Office, or even adjacent Inyo National Forest lands, but rather is typical of\r\ninformation needed by federal, state, and other land managers throughout the Intermountain West.",None,,None,,,33:37:00
Model 24,Central Basin and Range,Prescribed burn,,13620,4903,Implemented,None,1,00/00/2004,00/00/2007,Acres,18765.67,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,0,,,,,,,,"a) Decrease the closed canopy of pinyon/juniper trees by 40-60 percent;\r\nb) Re-establish sagebrush corridors between the Bald Hills and the Greenville Bench allowing for better dispersal and movement of wildlife species;\r\nc) Establish a mix of native and non-native shrubs, forbs, and grasses throughout the treated areas and improve woodland health by improving age structure and decreasing tree density","Broadcast prescribed fires would be used to treat approximately 1,200 acres of\r\nclosed canopy pinyon/juniper woodland within the encroachment zone. Fires\r\nwould be initiated utilizing hand and or aerial ignition techniques.",GIS information and photos indicate that the treatment was implemented.,,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",,18777.82138,16402.9417,,,"Overgrazing, Loss of vegetation, Loss of Perennials, Habitat for wildlife, Habitat for sage grouse, Erosion, Fire hazard, Public Safety, Rangeland health","A combination of 100 years of fire suppression and past livestock grazing practices have allowed the pinyon/juniper woodland to increase its range and expand into areas historically dominated by sagebrush and perennial grasses. In the  project area remaining shrub lands are dominated by homogenous stands of mature sagebrush with declining, remnant populations of native perennial forbs and grasses. Much of the ground below the pinyon/juniper closed canopy has little or no shrubs, forbs or grasses, all of which are important to wildlife, livestock and ecosystem stability. The sagebrush corridors that once connected the Bald Hills and the Greenville Bench, and facilitated the movement and dispersal of sagebrush obligate species such as sage grouse, have disappeared due to pinyon/ juniper encroachment. Due to the current condition of the watershed, a catastrophic wildfire would cause large-scale damage to the watershed and would be very hard to control.\r\n   The following actions have been identified by resource and fire management professionals as necessary on the Greenville Bench area: 1) establishing fuel breaks along selected roads, property lines and topographic features on the lower sagebrush bench creating a situation where wildfires can be better managed by reducing the rate of spread and giving fire fighters additional response time to suppress fires&* 2) decreasing the hazardous fuel loads on the mid and upper slopes in the pinyon/juniper woodland, thereby protecting against the threat of catastrophic wildfires leaving the woodlands and impacting neighboring private lands and Interstate 15&* 3) re-establishing sagebrush corridors between the Bald Hills and the Greenville Bench allowing for better dispersal and movement of wildlife species&* 4) decreasing the amount of pinyon/juniper encroachment into areas historically dominated by big sagebrush&* 5) increasing plant diversity within the treatment areas by establishing a mix of native and non-native shrubs, forbs and grasses that would also facilitate a decrease in surface soil erosion as a result of precipitation and wind&* 6) improve the health of both woodlands and sagebrush/grasslands by increasing biological diversity and age class.",None,,None,,,45:31:00
Model 24,Central Basin and Range,Prescribed burn,,22559,8237,Implemented,None,2,4/2/2007,6/15/2007,Acres,1523,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,0,,,,,,,,"\u2022Reduce pinyon, juniper and sagebrush cover on sagebrush and mountain shrub ecological sites in order to (1) improve the overall vegetative composition within the ecological site potential; (2) promote the recovery and establishment of perennial grass and forb species; (3) improve the health, vigor and production of antelope bitterbrush communities and (4) improve the age-class distribution of even-aged sagebrush stands\r\n\u2022 Improve the available habitat for neighboring sage grouse, mule deer and elk populations\r\n\u2022 Reduce the risk of large catastrophic wild fires by reducing fuel loading and continuity within the North Spring Valley Watershed and meet FRCC I\r\n\u2022 Restore the historic disturbance regime within the project area","Spring prescribed burn along the Schell Creek Range benches in areas with pinyon and juniper establishment; antelope bitterbrush communities and sufficient residual herbaceous vegetation (lower intensity).  Prescribed burning would be initiated by ground or aerial ignition techniques. The firing pattern techniques would be managed to burn sagebrush ecological sites which contain pinyon/ juniper and older, even-aged stands of sagebrush.  Fire line rehabilitation would be conducted to stabilize the soiI, create physical barriers to discourage off-highway vehicle use and to conceal the fire line to reduce visible impacts for aesthetic purposes.",,,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",9/21/2010,1523.006978,1522.584637,,,"Threatened Species, Noxious Weeds","Suitable pygmy rabbit (Brachylagus idahoensis) habitat would be surveyed prior to conducting ground disturbing activities. Ignition and mowing pattern designs that would minimize impact to any occupied pygmy rabbit habitat would be incorporated.\r\n\r\nThe Ely Field Office Noxious Weed Prevention Schedule would be adhered to during all phases of\r\nproject implementation. Mitigation measures identified in the Weed Risk Assessment (Appendix 8.1) would be implemented as part of the proposed action. If possible, ignition strategies would attempt to create a 50 foot buffer of unburned vegetation from roadsides to mitigate possible noxious weed establishment from vehicular travel.",None,,None,,This treatment was marked as implemented due to the dates listed in the attribute table of the shapefile.  There is no other documentation to show the treatment was completed.,29:00:00
Model 24,Central Basin and Range,Prescribed burn,,22560,8237,Implemented,None,2,9/9/2006,8/21/2008,Acres,7479,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,0,,,,,,,,"\u2022Reduce pinyon, juniper and sagebrush cover on sagebrush and mountain shrub ecological sites in order to (1) improve the overall vegetative composition within the ecological site potential; (2) promote the recovery and establishment of perennial grass and forb species; (3) improve the health, vigor and production of antelope bitterbrush communities and (4) improve the age-class distribution of even-aged sagebrush stands\r\n\u2022 Improve the available habitat for neighboring sage grouse, mule deer and elk populations\r\n\u2022 Reduce the risk of large catastrophic wild fires by reducing fuel loading and continuity within the North Spring Valley Watershed and meet FRCC I\r\n\u2022 Restore the historic disturbance regime within the project area","Fall prescribed burn along the Antelope Range benches in areas with pinyon and juniper establishment; denser, even-aged sagebrush stands and sufficient residual herbaceous vegetation (higher intensity).  Prescribed burning would be initiated by ground or aerial ignition techniques. The firing pattern techniques would be managed to burn sagebrush ecological sites which contain pinyon/ juniper and older, even-aged stands of sagebrush.  Fire line rehabilitation would be conducted to stabilize the soiI, create physical barriers to discourage off-highway vehicle use and to conceal the fire line to reduce visible impacts for aesthetic purposes.",Implementation confirmed for at least 800 acres by burn report,,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",9/21/2010,7479.384859,7476.826857,,,"Threatened Species, Noxious Weeds","Suitable pygmy rabbit (Brachylagus idahoensis) habitat would be surveyed prior to conducting ground disturbing activities. Ignition and mowing pattern designs that would minimize impact to any occupied pygmy rabbit habitat would be incorporated.\r\n\r\nThe Ely Field Office Noxious Weed Prevention Schedule would be adhered to during all phases of\r\nproject implementation. Mitigation measures identified in the Weed Risk Assessment (Appendix 8.1) would be implemented as part of the proposed action. If possible, ignition strategies would attempt to create a 50 foot buffer of unburned vegetation from roadsides to mitigate possible noxious weed establishment from vehicular travel.",None,,None,,,54:45:00
Model 24,Central Basin and Range,Prescribed burn,,22900,8371,Implemented,None,2,12/11/2012,12/13/2012,Acres,254.5,Prescribed Burn,Prescribed Burn,Prescribed Burn: Pile Burn,0,,,,,,,,Objective 2: Pile and burn slash debris in accordance with the SLFO District pile burn plan.,Where the cover and pile method is used the piles would be burned to eliminate heavy fuel loading.,,,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",,254.5191543,231.0942065,,,"Invasion by pinyon-juniper, Public safety, Fire hazard, Hazardous fuels reduction, Rangeland health","Recent research in the Great Basin has demonstrated clearly that pinyon and juniper are increasing in density throughout much of this region and many areas that were formerly dominated by shrubs are now being taken over by juniper. The SLFO is experiencing encroachment of Utah juniper (Juniperus osteosperma) east of Terra Utah&* beyond its historic densities. This process is creating a tree over story which decreases the climax shrub and grass species due to shading and increased nutrient competition. When juniper canopy cover increases, the potential for crown fire activity becomes greater due to the extra fuel loading available. Crown fires in thick juniper stands are difficult and expensive to suppress and exhibit greater severity to the vegetation and soils. The current hazardous fuel conditions within the area are at risk for unusually large and severe wildfires. Although some native understory still exists, it is being out competed by juniper and is at risk of conversion to juniper woodland excluding any disturbance or to cheatgrass following wildfire.\r\nIn this light, it is evident that a wildland urban interface treatment is needed in order to begin the process of restoring the integrity of the sagebrush steppe and reduce the potential for large, devastating wildfires.",None,,None,,,59:36:00
Model 24,Central Basin and Range,Prescribed burn,,24203,8875,Implemented,None,2,9/14/2010,9/14/2013,None,,Prescribed Burn,Prescribed Burn,Prescribed Burn,0,,,,,,,,"The goal is to shift fire hazard trends from the more hazardous Condition Classes of 2 and 3 to a more ecologically balanced Condition Class 1. Target locations have been chosen resulting from the positive natural re-establishment of native grasses and subsequent favorable establishment of non-native grass and plant species, post seeding application, following the 2001 Mallory Fire.","A combination of ground and aerial firing resources would implement firing of the project. Ground firing resources are to include drip torches and terra torch where applicable. Clean up and control will also be conducted with the use of drip torches and/or terra torch. Broad scope application would be through the use of a PSD (Plastic Sphere Dispenser) machine. Aerial fire application through the use of PSD will improve efficiency and effectiveness. Safety, fuels properties, current and expected weather, topography (ingress/egress), and holding capabilities will determine the proper fire application.",Area was treated according to GIS VTRT layers provided. Two areas treated on 9/14/2010-10/15/2010. The other treated on 9/14/2012 and still in progress in 2013. See Rx Plan Cover sheet for additional treatment days and acres burned for specifics.,,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",,2738.890737,2573.458942,,,"Hazardous fuels reduction, Wildlife in treated area, Public safety, Pinon-juniper, Habitat for sage grouse, Habitat for mule deer, Habitat for elk","(1) Reduce the risk of large, uncontrolled\r\nwildfires by reducing the fuel loading and continuity within the Deep Creek Watershed\r\nand meet FRCC 1. (2) Restore the historic disturbance regime within the project area.\r\n(3) Improve the available habitat for neighboring sage grouse, mule deer, and elk\r\npopulations. (4) Minimize the occurrence of invasive species within the project\r\nboundary.",None,,None,,"Three treatment areas were burned in separate times, the last was listed as still in progress in 2013. No final end date was listed in the GIS VTRT layer attribute table.",21:49:00
Model 24,Central Basin and Range,Prescribed burn,,32896,12156,Implemented,None,2,2/4/2014,2/6/2014,Acres,120,Prescribed Burn,Prescribed Burn,Prescribed Burn: Pile Burn,0,,,,,,,,"The proposed action was developed and designed to address the following sagegrouse conservation objectives identified by the Bodie PMU local working group: 1) Improve sage-grouse habitat quality by treating pinyon and/or juniper\r\nencroachment into key sage-grouse habitats in the Bodie PMU; and 2) Manage pinyon and juniper in the Bodie PMU to ensure long-term connectivity between sage-grouse seasonal use areas and adjacent breeding populations (NDOW 2004, Appendix L, p. 96).\r\n\r\nThe proposed action would implement the following conservation actions identified by the Bodie PMU local working group in the Greater Sage-Grouse Conservation Plan for Nevada and Eastern California (NDOW 2004):\r\n\r\n- Remove pinyon and/or juniper in and adjacent to currently occupied breeding habitat in the Bodie PMU using the most appropriate technique to achieve project objectives (Appendix L, p. 96).\r\n- Identify additional priority treatment sites and implement additional pinyon and/or juniper removal treatments to improve sage-grouse habitat and sagebrush associated plant community health in the Bodie PMU (Appendix L, p. 97).","Trees greater than 10 feet in height and/or greater than 6 inches in diameter\r\nat the base would be cut and piled. Trees less than 10 feet in height and less\r\nthan 6 inches in diameter at the base within 100 feet of other trees would also\r\nbe cut and piled. Hand piles would be constructed in a tight, compact fashion\r\nand to a height of not less than 6 feet. Pile diameter would be between 6 and\r\n10 feet. Wherever possible, hand piles would be constructed on top of cut\r\nstumps and in openings created by the removal of larger trees. Hand piles\r\nwould be burned the following fall/winter.",,,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",,119.7511586,119.7456385,,BLM,"Encroaching vegetation, Habitat for greater sage grouse, Habitat for wildlife, Habitat quality, Invasion by pinyon-juniper, Pinon-juniper","The proposed action was developed and designed to address the following sagegrouse conservation objectives identified by the Bodie PMU local working group: 1) Improve sage-grouse habitat quality by treating pinyon and/or juniper\r\nencroachment into key sage-grouse habitats in the Bodie PMU&* and 2) Manage pinyon and juniper in the Bodie PMU to ensure long-term connectivity between sage-grouse seasonal use areas and adjacent breeding populations (NDOW 2004, Appendix L, p. 96).\r\n\r\nThe proposed action would implement the following conservation actions identified by the Bodie PMU local working group in the Greater Sage-Grouse Conservation Plan for Nevada and Eastern California (NDOW 2004):\r\n\r\n- Remove pinyon and/or juniper in and adjacent to currently occupied breeding habitat in the Bodie PMU using the most appropriate technique to achieve project objectives (Appendix L, p. 96).\r\n- Identify additional priority treatment sites and implement additional pinyon and/or juniper removal treatments to improve sage-grouse habitat and sagebrush associated plant community health in the Bodie PMU (Appendix L, p. 97).\r\n\r\nIn 2007, the BLM Bishop Field Office entered into a cooperative agreement with\r\nThe Nature Conservancy (TNC) to develop a Conservation Action Plan (CAP) for\r\nthe Bodie Hills. The purpose of the CAP was to inform and guide the formulation\r\nof future site-specific vegetation management strategies to protect and enhance\r\nthe area\u2019s ecological integrity. As part of the CAP process, a combination of\r\nremote sensing, field surveys, and ecological modeling was used to evaluate the\r\ncurrent condition of ecological systems in the Bodie Hills as compared to their\r\npredicted natural range of variability. The results of this analysis indicate that\r\nmontane sagebrush steppe, Wyoming big sagebrush, and basin big sagebrush\r\necosystems in the Bodie Hills are currently \u201chighly departed\u201d from their natural\r\nrange of variability. The analysis also indicated that low sagebrush ecosystems\r\nin the Bodie Hills are \u201cmoderately departed\u201d from their natural range of variability.\r\nThe CAP analysis identified the over representation of mid seral (class C), late\r\nseral (class E), and uncharacteristic (class U) ecological classes in these\r\necosystems as primary contributors to this departure. Chainsaw lopping and\r\ncanopy thinning of conifer trees and prescribed fire are among the recommended\r\nmanagement strategies for restoring these ecosystems (Provencher et al. 2009).",None,,None,,,15:51:00
Model 24,Central Basin and Range,Prescribed burn,,72266,25462,Implemented,Unknown,2,8/18/2006,9/1/2006,Acres,1653,Prescribed Burn,Prescribed Burn,Prescribed Burn,0,No seed list,,,,,,,"The site specific objectives for the Marking Corral Project are:\r\n1. The Joint Fires Sciences Group has recommended that a treatment using fire surrogates (mechanical} and prescribed burning within the Wyoming sagebrush ecological site, in 10 to 12 inch precipitation zones, to measure recovery potential and ecological condition of sagebrush communities of the Great Basin. These sites are at risk of Cheatgrass invasion/conservation and pinion-juniper invasion. Reduce average pinyon and/or juniper and shrub ground cover in Wyoming big, and mountain big sagebrush communities to between 10 and 16 percent. Tree and shrub currently average 38 percent.\r\n2. Reduce the FRCC rating condition class from condition class 3 to condition class 1.\r\n3. Increase perennial grass basal ground cover in Wyoming sagebrush communities to between 11 and 17 percent. Currently, it is about 3 percent.\r\n4. Reduce pinyon and/or juniper cover in Wyoming and Mountain big sagebrush sites to less than 1 percent tree cover of pinyon and/or junipers.\r\n\r\nPrescribed Fire Objectives:\r\n1. Provide for safety with a 100% accident free target.\r\n2. Reduce the canopy cover including the encroaching pinyon-juniper trees and sagebrush by 58-74% (38% cover reduced to 10-16%) in the burn unit.\r\n3. Reduce the threat of a catastrophic wildfire to the middle Egan Mountain Range, NV by igniting 60-80% of the available live and dead fuels, using mosaic and continuous patterns within the 1520 acre unit.\r\n4. Reach a 100% treatment target within the 50 acre core research plot. The Joint Fire Sciences group would like 100% consumption within the plot, but can accept a deviation up to 3%.\r\n5. Provide training and qualifying opportunities for 15% or more of the assigned personnel.","prescribed burn of approximately 1500 acres, north and adjacent to the hand cutting area, would occur in Wyoming, mountain and black sagebrush that is densely populated with pinyon juniper. The burn would remove approximately 50 to 75% of the pinyon/juniper trees and would be conducted at a time most conductive to reaching the objectives in the fall of 2006.","Prescribed burn completed. Implementation verified by VTRT data and fire behavior document,",unknown,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",None,1653.15,1653.15,,BLM,"Experimental study, Fire hazard, Hazardous fuels reduction, Invasion by cheatgrass, Invasion by pinyon-juniper, Loss of perennials, Loss of desirable species, Pinon-juniper, Unprotected treatment area, Vegetal cover, Watershed health, Erosion, Habitat for wildlife, Loss of riparian vegetation","The proposed action is to assist in reducing the amount of acres in condition class 3 and fire regime group II, and to achieve the watershed goals and Northeastern Resource Advisory Council (NERAC) standards for upland and habitat in the Butte and Jakes Valley Watersheds.",,,,,,12:08:00
