ORIG_OID,OVERLAP_OID,ProjectKey,PrimaryKey,DateVisited
2,6157,LandPKS,#13_pre_el_medio_2017-04-10_36.67447_-105.60112_r,2017-04-10
3,6122,LandPKS,#2_pre_2017-04-05_36.6652_-105.6019_r,2017-04-05
5,1607,MURV,06051514053759212007-03-09,2007-03-09
6,2728,MURV,06080810072516012005-07-08,2005-07-08
7,2726,MURV,06080810075645512005-07-08,2005-07-08
8,2727,MURV,06080810083136962005-07-08,2005-07-08
9,2701,MURV,06080810091353762005-07-11,2005-07-11
11,2697,MURV,06080810101858682006-12-26,2006-12-26
12,2699,MURV,06080810104836312005-07-11,2005-07-11
13,2719,MURV,06080810115521172005-07-11,2005-07-11
14,2722,MURV,06080810122077672005-07-11,2005-07-11
15,2720,MURV,06080810125223512005-07-11,2005-07-11
16,2743,MURV,0608081013269552005-07-13,2005-07-13
17,2740,MURV,06080810140723982005-07-13,2005-07-13
18,2741,MURV,06080810143750172005-07-13,2005-07-13
19,2905,MURV,06080810151619892005-07-15,2005-07-15
20,2901,MURV,06080810154486462005-07-15,2005-07-15
21,2902,MURV,06080810161390122005-07-13,2005-07-13
22,2879,MURV,06080810164510462005-07-15,2005-07-15
23,2878,MURV,06080810202092592005-07-15,2005-07-15
24,2425,MURV,06080810205047152005-07-19,2005-07-19
25,2423,MURV,06080810212461432005-07-19,2005-07-19
26,2424,MURV,06080810220026862005-07-19,2005-07-19
27,2274,MURV,06080810224129002005-07-20,2005-07-20
28,2270,MURV,06080810230885472005-07-20,2005-07-20
29,2272,MURV,06080810234926652005-07-20,2005-07-20
30,2948,MURV,06080810242382912005-07-21,2005-07-21
31,2946,MURV,06080810245241232005-07-21,2005-07-21
32,2947,MURV,06080810251920282005-07-21,2005-07-21
33,2504,MURV,06080810255161422005-07-28,2005-07-28
34,3278,MURV,06080810273436282005-07-21,2005-07-21
35,3274,MURV,06080810280667372005-07-26,2005-07-26
36,3276,MURV,06080810291010912005-07-26,2005-07-26
37,2506,MURV,06080810293245642005-07-28,2005-07-28
38,2505,MURV,06080810300148482005-07-28,2005-07-28
39,3215,MURV,06080810321675682005-08-02,2005-08-02
40,3210,MURV,06080810323972452005-08-02,2005-08-02
41,3212,MURV,0608081033162362005-08-02,2005-08-02
42,3184,MURV,06080810333655502005-08-03,2005-08-03
43,3182,MURV,06080810340689142005-08-03,2005-08-03
44,3183,MURV,06080810343358732005-08-03,2005-08-03
45,3143,MURV,06080810350366322005-08-03,2005-08-03
46,3139,MURV,06080810352918062005-08-03,2005-08-03
47,3141,MURV,06080810360033932005-08-03,2005-08-03
48,2497,MURV,06080810375988652005-08-08,2005-08-08
49,2495,MURV,06080810390855232005-08-08,2005-08-08
50,2496,MURV,06080810395180532005-08-08,2005-08-08
51,3290,MURV,06080810445234682005-07-05,2005-07-05
52,1533,MURV,06081113144416852006-05-22,2006-05-22
53,1534,MURV,06081113203669802006-05-22,2006-05-22
54,1505,MURV,060811132617982006-05-22,2006-05-22
55,1503,MURV,06081113314180412006-05-22,2006-05-22
56,1501,MURV,06081113422953892006-05-23,2006-05-23
57,1491,MURV,06081113464776502006-05-23,2006-05-23
58,1492,MURV,06081113574354472006-05-23,2006-05-23
59,1532,MURV,06081114103090542006-05-25,2006-05-25
60,1490,MURV,06081114160932362006-05-23,2006-05-23
61,1480,MURV,06081114232425572006-05-24,2006-05-24
62,1481,MURV,06081114334247402006-05-24,2006-05-24
63,1479,MURV,06081114453326872006-05-24,2006-05-24
64,1478,MURV,06081114524561022006-05-24,2006-05-24
66,1472,MURV,06081115014995712006-05-25,2006-05-25
68,1475,MURV,06081115093575362007-02-07,2007-02-07
70,1581,MURV,0608111515207342007-02-08,2007-02-08
72,1582,MURV,06081115231717862007-02-08,2007-02-08
73,1598,MURV,06081116332713192006-06-20,2006-06-20
74,1597,MURV,06081116381153962006-06-20,2006-06-20
75,1614,MURV,06081116405969902006-06-23,2006-06-23
77,1616,MURV,06081116515485532007-02-13,2007-02-13
79,1615,MURV,06081116555425622007-02-13,2007-02-13
80,2074,MURV,06081411171893522006-06-30,2006-06-30
81,2073,MURV,0608141124325382006-06-30,2006-06-30
82,2076,MURV,06081412161339112006-06-30,2006-06-30
83,2116,MURV,06081412215634542006-07-03,2006-07-03
84,2084,MURV,06081412342474282006-07-03,2006-07-03
85,2060,MURV,06081412435832362006-07-10,2006-07-10
86,2059,MURV,06081412460221052006-07-10,2006-07-10
87,2150,MURV,06081413081588132006-07-06,2006-07-06
88,2178,MURV,06081413280297182006-07-11,2006-07-11
89,2185,MURV,06081413374290242006-07-11,2006-07-11
90,2196,MURV,06081413432782652006-07-11,2006-07-11
92,2248,MURV,06081413472329032007-02-22,2007-02-22
93,2249,MURV,06081413515367902006-07-20,2006-07-20
94,2239,MURV,06081413555726742006-07-10,2006-07-10
95,2240,MURV,06081414051613612006-07-10,2006-07-10
96,2186,MURV,06081414095726662006-07-19,2006-07-19
97,2183,MURV,06081414150178552006-07-19,2006-07-19
98,2250,MURV,06081414202595882006-07-20,2006-07-20
99,2262,MURV,06081414251917262006-07-26,2006-07-26
100,2181,MURV,06081414333399032006-07-19,2006-07-19
102,2182,MURV,06081414393588082007-02-26,2007-02-26
104,2319,MURV,06081414475697512007-02-26,2007-02-26
106,2313,MURV,06081414523221302007-02-26,2007-02-26
107,1427,MURV,06120814362872812005-11-09,2005-11-09
108,1415,MURV,06120815585579102005-11-09,2005-11-09
109,2398,MURV,06121313432696712005-07-06,2005-07-06
110,2876,MURV,06121315384456242005-07-15,2005-07-15
111,1609,MURV,07030910354042592006-04-19,2006-04-19
112,1599,MURV,0703091041286752006-04-19,2006-04-19
113,1601,MURV,07030910474450112006-04-20,2006-04-20
