Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID
25824,73351,1990-03-27,1990-04-03,Prescribed Burn,Prescribed Burn,Prescribed Burn,30398
25825,73352,1990-09-29,1990-10-06,Prescribed Burn,Prescribed Burn,Prescribed Burn,30399
25826,73353,1991-09-16,1992-11-16,Prescribed Burn,Prescribed Burn,Prescribed Burn,30400
25827,73354,1996-10-05,1996-10-12,Prescribed Burn,Prescribed Burn,Prescribed Burn,30401
25828,73355,1997-05-05,1997-05-12,Prescribed Burn,Prescribed Burn,Prescribed Burn,30402
25829,73356,1997-08-28,1997-09-29,Prescribed Burn,Prescribed Burn,Prescribed Burn,30403
25830,73357,1997-06-23,1997-06-30,Prescribed Burn,Prescribed Burn,Prescribed Burn,30404
25831,73358,1997-09-28,1997-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30405
25832,73359,1997-09-09,1997-09-12,Prescribed Burn,Prescribed Burn,Prescribed Burn,30406
25833,73360,1997-10-14,1997-10-14,Prescribed Burn,Prescribed Burn,Prescribed Burn,30407
25834,73361,1998-07-14,1998-07-21,Prescribed Burn,Prescribed Burn,Prescribed Burn,30408
25835,73362,1998-10-10,1998-10-11,Prescribed Burn,Prescribed Burn,Prescribed Burn,30409
25836,73363,1998-07-10,1998-07-17,Prescribed Burn,Prescribed Burn,Prescribed Burn,30410
25837,73364,1998-07-03,2001-01-03,Prescribed Burn,Prescribed Burn,Prescribed Burn,30411
25838,73365,1998-02-09,1998-02-16,Prescribed Burn,Prescribed Burn,Prescribed Burn,30412
25839,73366,1998-04-21,1998-04-28,Prescribed Burn,Prescribed Burn,Prescribed Burn,30413
25840,73367,1999-09-14,1999-09-20,Prescribed Burn,Prescribed Burn,Prescribed Burn,30414
25841,73368,1999-08-24,1999-08-31,Prescribed Burn,Prescribed Burn,Prescribed Burn,30415
25842,73369,1999-09-13,1999-09-30,Prescribed Burn,Prescribed Burn,Prescribed Burn,30416
25843,73370,1999-09-15,1999-09-22,Prescribed Burn,Prescribed Burn,Prescribed Burn,30417
25844,73371,1999-09-10,1999-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30418
25845,73372,1999-06-11,1999-06-18,Prescribed Burn,Prescribed Burn,Prescribed Burn,30419
25846,73373,1999-09-19,1999-09-26,Prescribed Burn,Prescribed Burn,Prescribed Burn,30420
25847,73374,1999-09-13,1999-09-20,Prescribed Burn,Prescribed Burn,Prescribed Burn,30421
25848,73375,2000-09-26,2000-09-25,Prescribed Burn,Prescribed Burn,Prescribed Burn,30422
25849,73376,2001-09-28,2001-10-05,Prescribed Burn,Prescribed Burn,Prescribed Burn,30423
25850,73377,2001-05-28,2001-06-04,Prescribed Burn,Prescribed Burn,Prescribed Burn,30424
25851,73378,2001-06-28,2001-07-05,Prescribed Burn,Prescribed Burn,Prescribed Burn,30425
25852,73379,2001-10-06,2001-10-21,Prescribed Burn,Prescribed Burn,Prescribed Burn,30426
25853,73380,2001-06-02,2001-06-09,Prescribed Burn,Prescribed Burn,Prescribed Burn,30427
25854,73381,2001-04-30,2001-05-09,Prescribed Burn,Prescribed Burn,Prescribed Burn,30428
25855,73382,2001-02-26,2001-02-28,Prescribed Burn,Prescribed Burn,Prescribed Burn,30429
25856,73383,2001-10-15,2001-10-22,Prescribed Burn,Prescribed Burn,Prescribed Burn,30430
25857,73384,2001-10-25,2001-10-26,Prescribed Burn,Prescribed Burn,Prescribed Burn,30431
25858,73385,2002-09-10,2002-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30432
25859,73386,2002-09-11,2002-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30433
25860,73387,2002-10-20,2002-10-23,Prescribed Burn,Prescribed Burn,Prescribed Burn,30434
25861,73388,2003-05-30,2003-06-20,Prescribed Burn,Prescribed Burn,Prescribed Burn,30435
25862,73389,2003-09-29,2003-09-29,Prescribed Burn,Prescribed Burn,Prescribed Burn,30436
25863,73390,2003-09-29,2003-09-29,Prescribed Burn,Prescribed Burn,Prescribed Burn,30437
25864,73391,2004-07-26,2004-01-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30438
25865,73392,2004-07-15,2004-07-25,Prescribed Burn,Prescribed Burn,Prescribed Burn,30439
