LDCpointID,PrimaryKey,TrtPolyID,Trt_ID
1826,AZ_SFO_LUP_2021_SFO2021-125_V12023-09-01,9278,27434
1826,AZ_SFO_LUP_2021_SFO2021-125_V12023-09-01,9279,27435
1943,17092213595637522017-09-01,9093,26906
1943,17092213595637522017-09-01,9092,26905
1968,AZ_SFO_LUP_2021_SFO2021-187_V12023-09-01,9093,26906
1968,AZ_SFO_LUP_2021_SFO2021-187_V12023-09-01,9092,26905
2596,AZ_SFO_LUP_2021_SFO2021-184_V12023-09-01,5182,15662
2596,AZ_SFO_LUP_2021_SFO2021-184_V12023-09-01,5181,15661
4962,NMA01000_2019_DS-1032019-09-01,13444,39163
4962,NMA01000_2019_DS-1032019-09-01,13443,39162
5000,NMA01000_2018_GR-0242019-09-01,1892,5578
5000,NMA01000_2018_GR-0242019-09-01,1893,5577
5003,NM_RioPuerco_LUP_2017_GW_352_V12020-09-01,4145,12769
5003,NM_RioPuerco_LUP_2017_GW_352_V12020-09-01,4146,12768
5004,20143543202205B1,9276,27427
5004,20143543202205B1,9277,27426
5005,NMA01000_2017_GW-3292019-09-01,1752,5107
5005,NMA01000_2017_GW-3292019-09-01,1751,5106
5007,20143543202205B2,9276,27427
5007,20143543202205B2,9277,27426
5018,NMA01000_2018_GR-0082019-09-01,1892,5578
5018,NMA01000_2018_GR-0082019-09-01,1893,5577
5186,NM_RioPuerco_LUP_2017_PJ_233_V12020-09-01,3570,11202
5186,NM_RioPuerco_LUP_2017_PJ_233_V12020-09-01,3569,11201
5188,NMA01000_2019_ELKSpr_Thin-052019-09-01,3570,11202
5188,NMA01000_2019_ELKSpr_Thin-052019-09-01,3569,11201
5202,NM_TFO_LUP_2021_TC-065_V22023-09-01,6346,19078
5202,NM_TFO_LUP_2021_TC-065_V22023-09-01,6345,19077
5208,18081815590789252018-09-01,6346,19078
5208,18081815590789252018-09-01,6345,19077
5247,17091815183776572017-09-01,9371,27614
5247,17091815183776572017-09-01,9370,27613
5248,NM_TFO_LUP_2021_TC_049_V22022-09-01,9371,27614
5248,NM_TFO_LUP_2021_TC_049_V22022-09-01,9370,27613
5284,NM_SagebrushTreatment_Intensification2020_Spike2014-01_V12020-09-01,4545,13873
5284,NM_SagebrushTreatment_Intensification2020_Spike2014-01_V12020-09-01,4544,13872
5286,17082913205065422017-09-01,9369,27611
5286,17082913205065422017-09-01,9368,27610
5360,18060713281113732018-09-01,1444,4301
5360,18060713281113732018-09-01,1443,4300
5424,17092711082198812017-09-01,9476,27920
