LDCpointID,ProjectKey,PrimaryKey,DateVisited,TrtPolyID,Trt_Type_Major,Trt_Type_Sub,comp_date_est
1,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-204_V12023-09-01,2023-11-03,,,,
2,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB_140_V12022-09-01,2022-10-26,,,,
3,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-232_V12023-09-01,2023-11-03,,,,
4,BLM_AIM,NML00000_Panel4_MIMB_0562019-09-01,2019-11-06,,,,
5,BLM_AIM,NML00000_Panel2_MIMB_0282019-09-01,2019-11-05,,,,
6,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-300_V12023-09-01,2023-12-14,,,,
7,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB_108_V12022-09-01,2022-10-27,,,,
8,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_076_V12020-09-01,2020-11-04,,,,
9,BLM_AIM,NML00000_Panel19_MIMB_2852019-09-01,2019-11-05,,,,
10,BLM_AIM,NML00000_Panel19_MIMB_2742019-09-01,2019-11-07,,,,
11,BLM_AIM,NM_LasCrucesDO_2019_LUP_MIMB-156_V12021-09-01,2021-10-13,,,,
12,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_044_V12020-09-01,2020-11-04,,,,
13,BLM_AIM,20203523201212B1,2020-06-17,,,,
14,BLM_AIM,20091812112769472020-09-01,2020-09-17,,,,
15,BLM_AIM,20203523201212B2,2020-06-17,,,,
16,BLM_AIM,201443201811B1,2015-05-18,,,,
17,BLM_AIM,201443201811B2,2015-05-18,,,,
18,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-184_V12023-09-01,2023-11-05,,,,
19,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_092_V12020-09-01,2020-11-07,,,,
20,BLM_AIM,NML00000_Panel1_MIMB_0122019-09-01,2019-11-06,,,,
21,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-172_V12023-09-01,2023-11-04,,,,
22,BLM_AIM,AZ_AZ-Tucson-Field-Office-2021_SP-367_V12021-09-01,2021-10-14,,,,
23,BLM_AIM,201143010401R1,2012-04-02,,,,
24,BLM_AIM,20183523201209B1,2018-04-19,,,,
25,BLM_AIM,20183523201209B2,2018-04-19,,,,
26,BLM_AIM,NM_LCDO_LUP_MIMBRES_2019_MIMB-224_V12023-09-01,2023-11-04,,,,
27,BLM_AIM,201143010401R2,2012-04-02,,,,
28,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_096_V12020-09-01,2020-11-05,,,,
29,BLM_AIM,201643201815B1,2016-08-12,,,,
30,BLM_AIM,201643201815B2,2016-08-12,,,,
31,BLM_AIM,20092010502877332020-09-01,2020-09-19,,,,
32,BLM_AIM,NML00000_Panel19_MIMB_2772019-09-01,2019-11-07,,,,
33,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_088_V12020-09-01,2020-11-03,,,,
36,BLM_AIM,NM_LasCrucesDO_2019_LUP_MIMB-152_V12021-09-01,2021-10-14,,,,
37,BLM_AIM,NM_LasCrucesDO_2019_LUP_MIMB-144_V12021-09-01,2021-10-13,,,,
40,BLM_AIM,NML00000_Panel20_MIMB_2912019-09-01,2019-11-08,,,,
