LDCpointID,PrimaryKey,TrtPolyID,Trt_ID
48641,20204137322036B1,7,18
48665,20204137322036B2,7,18
48379,20174137332118B2,8,19
49134,20194137312132B1,8,19
46385,20082211105068362020-09-01,38,64
20799,CO_CO-NWD-2020_WyoSage-1286_V12020-09-01,58,156
2702,NM_LasCrucesTriCounty_2017_SS_449_V12020-09-01,86,249
23598,CO_CO_Kremmling_Field_Office_Watersheds_2021_PCNPR-004_V12021-09-01,133,317
1076,NM_CFO_LUP_2019_HabActive_568_V12022-09-01,134,318
1117,NMP02000_Year1_ChiActive_0042019-09-01,134,318
9786,UT_Monticello-LUP-Random-2020_SS-237_V12020-09-01,135,319
9786,UT_Monticello-LUP-Random-2020_SS-237_V12020-09-01,136,320
36616,20221631104801B1,154,364
36637,ID_BurleyFO_LUP_Revisit_2021_SEED-088_V22021-09-01,154,364
36645,20221631104801B2,154,364
34597,15062314121591312015-09-01,179,471
34750,NV_EKDO_ESR_2022_BlackPoint04_V12022-09-01,179,471
39340,20151683104613B3,190,494
6162,NM_Farmington_LUP_2020_LOAM_172_V12020-09-01,223,572
6127,20143545202403B1,225,575
6138,20143545202403B2,225,575
6100,NM_Farmingtion_LUP_2020_LOAM_192_V12021-09-01,227,577
39203,20141683104520B2,251,629
39260,ID_JarbridgeFOLUP2017_BSWD-169_V12020-09-01,251,629
39203,20141683104520B2,252,628
39260,ID_JarbridgeFOLUP2017_BSWD-169_V12020-09-01,252,628
27246,19051808221563122019-09-01,253,637
27247,17080313301620312017-09-01,253,637
20020,CA_BIFO_VegTrt_2023_PatriciaLn-C_06_V12023-09-01,276,737
20020,CA_BIFO_VegTrt_2023_PatriciaLn-C_06_V12023-09-01,277,738
2177,NM_LCDO_LUP_TRICOUNTY_2017_LHI_265_V12022-09-01,293,789
2200,17082410382822082017-09-01,293,789
2204,NM_LCDO_LUP_TRICOUNTY_2017_LHI_267_V12022-09-01,293,789
9814,UT_St.George-LUP-Random-2020_CPL-064_V12020-09-01,294,799
10023,UT_St.George-LUP-Random-2021_WDL-351_V12021-09-01,294,799
10241,UT_SGFO_LUP_2022_SGFO2022-104_V12023-09-01,294,799
26379,UT_Salt-Lake-LUP-2016-_Shade-549_V12021-09-01,298,833
26456,20204945202014B1,298,833
5437,NM_RioPuerco_LUP_2017_GW_355_V12020-09-01,305,863
2623,17081009553679232017-09-01,312,894
49304,OR_MFO_2021_MFO2021-250_V12023-09-01,313,900
52172,OR_LVFO_2021_LFO2021-181_V12023-09-01,314,914
49356,OR_MFO_2021_MFO2021-273_V12023-09-01,353,1018
49609,OR_MFO_2021_MFO2021-094_V12022-09-01,354,1015
49472,OR_VADO_ESR_2023_LeslieGul_NR-03_V22023-09-01,355,1016
49473,OR_VADO_ESR_2022_LeslieGul_NR-03_V12022-09-01,355,1016
49192,OR_VADO_ESR_2022_LeslieGul_NR-02_V12022-09-01,356,1017
49193,OR_VADO_ESR_2023_LeslieGul_NR-02_V22023-09-01,356,1017
49221,OR_OR_MFO_2021_LeslieGul_AS-01_V12021-09-01,356,1017
49227,OR_VADO_ESR_2023_LeslieGul_NR-01_V22023-09-01,356,1017
49228,OR_VADO_ESR_2022_LeslieGul_NR-01_V12022-09-01,356,1017
49241,OR_OR_MFO_2021_LeslieGul_AS-03_V12021-09-01,356,1017
49368,17062911355689802017-09-01,356,1017
