Model,EcoLvl3,Category,Trt_Type_Sub,Treatment_count,MR_trt_comp,LDCpointID,DateVisited,ProjectKey,PrimaryKey,Trt_Type_Major,recent_trt_count,FirePolyID,USGS_Assigned_ID,MR_wildfire,Fire_freq,Fire_freq_post_trt,EcoLvl1,NA_L1KEY,EcoLvl2,NA_L2KEY,NA_L3KEY,MLRARSYM,MLRA_name,horizontal_flux_total_MD,ln_q,n_CETWI,CETWI,sandtotal_0_cm,BareSoil_FH,TotalFoliarCover,ForbCover_AH,GramCover_AH,ShrubCover_AH,Gap100plus,trt_binary,distance,weights,subclass,trt_control,BareSoil_FH_scaled,TotalFoliarCover_scaled,ForbCover_AH_scaled,GramCover_AH_scaled,ShrubCover_AH_scaled,Gap100plus_scaled,CETWI_scaled,sandtotal_0_cm_scaled
1,Blue Mountains,"Control, never burned",,438,,52562,2022-05-21,BLM_AIM,20224125223319B1,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,23,Malheur High Plateau,8.30650785,2.1170392858869884,1,648,39,29.7029702970297,47.5247524752475,13.8613861386139,28.7128712871287,13.8613861386139,9.4,0,0.19971207867150867,0.9690721649484536,82,Control,2.2338378575989943,-1.0745241661416753,-0.004261540419249154,-1.0626973376667015,-0.13320530910625958,-0.36153242265727326,1.0402857555004223,0.530080341025793
1,Blue Mountains,"Control, never burned",,438,,52706,2016-06-20,BLM_AIM,1606210623087182016-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,1.923628157,0.6542130679727979,2,656.5,41,10,22,5.33333333333333,15.3333333333333,3.33333333333333,55.43,0,0.3953534590665601,1.9381443298969072,76,Control,0.03281812189622152,-2.621725577296049,-0.7658576340856773,-1.7971340564173446,-1.143098451822686,2.3545259688503273,1.136422945982417,0.9611014457115311
1,Blue Mountains,"Treated, never burned",Herbicide,110,2009-07-30,52774,2014-06-04,BLM_AIM,20144125223216B2,Herbicide/Weeds/Chemical,1,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,23,Malheur High Plateau,0.11868597,-2.1312741814879828,1,487,44,9.9009900990099,60.3960396039604,7.92079207920792,50.4950495049505,20.7920792079208,6,1,0.06368319721849373,1,1,Herbicide,0.021757721214297827,-0.29432174779385056,-0.5347851350785268,0.13298158284495123,0.5316146281051755,-0.5621537246587036,-0.7806657348055986,1.607633102740138
1,Blue Mountains,"Treated, never burned",Herbicide,110,2018-09-12,52799,2020-07-20,BLM_AIM,20072108314714602020-09-01,Herbicide/Weeds/Chemical,1,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,23,Malheur High Plateau,0.014122161,-4.260010013301503,1,461,42,6,65.3333333333333,8.66666666666667,57.3333333333333,6.66666666666667,22.28,1,0.10593857710639877,1,2,Herbicide,-0.4140220656534872,0.004955897808286197,-0.46817495041575086,0.5083522984964858,-0.823351720116232,0.39846827433638077,-1.0747324351034655,1.1766119980544
1,Blue Mountains,"Treated, never burned",Herbicide,110,2009-07-30,52840,2013-05-28,BLM_AIM,20124125201101P1,Herbicide/Weeds/Chemical,1,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,23,Malheur High Plateau,65.54717885,4.182770171144716,1,673,44,18.8118811881188,67.3267326732673,1.98019801980198,63.3663366336634,13.8613861386139,11.73,1,0.32324351701227516,1,3,Herbicide,1.0171937825874102,0.12578724670112898,-1.0653087297378006,0.8395191267836561,-0.13320530910625958,-0.22404782452099886,1.3230421980945248,1.607633102740138
1,Blue Mountains,"Control, never burned",,438,,52851,2023-04-30,BLM_AIM,OR_BUDO_2021_BDO2021-172_V12023-09-01,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,4.55e-7,-14.602968417995461,1,463,40,7.33333333333333,75.3333333333333,32.6666666666667,36,8.66666666666667,0,0,0.1260157655852525,0.9690721649484536,92,Control,-0.2650753364702513,0.6111131612939025,1.675140372007719,-0.6626883897137119,-0.6315036810923599,-0.9161913164259338,-1.0521119196959372,0.745590893368662
1,Blue Mountains,"Control, never burned",,438,,52914,2017-04-27,BLM_AIM,20174125223218B2,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,23,Malheur High Plateau,0.471023821,-0.7528466108730604,1,556,43,17.8217821782178,72.2772277227723,36.6336633663366,35.6435643564356,26.7326732673267,1.37,0,0.08797024693038784,0.9690721649484536,93,Control,0.9065897757681741,0.42586509991183275,2.0294122391079616,-0.6822540447766323,1.1014602885721183,-0.8353527329724162,-2.579532458754255e-4,1.3921225503972692
1,Blue Mountains,"Treated, never burned",Herbicide,110,2006-11-19,52996,2022-04-08,BLM_AIM,OR_BUDO_2021_BDO2021-NR-019_V12022-09-01,Herbicide/Weeds/Chemical,1,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,23,Malheur High Plateau,0.007112287,-4.945931427254039,1,487,44,5.33333333333333,74.6666666666667,12.6666666666667,65.3333333333333,13.3333333333333,3.33,1,0.08172339496023041,1,4,Herbicide,-0.48849543024510567,0.570702677061532,-0.110955730011837,0.9474925565753106,-0.18385825670332845,-0.7197004529951211,-0.7806657348055986,1.607633102740138
1,Blue Mountains,"Treated, never burned",Herbicide,110,2008-06-15,52998,2014-05-20,BLM_AIM,20144125201113B1,Herbicide/Weeds/Chemical,1,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,10,Central Rocky and Blue Mountain Foothills,1.03e-5,-11.483366662728685,1,665,40,8.91089108910891,63.3663366336634,9.9009900990099,49.5049504950495,15.8415841584158,0,1,0.29230914601520086,1,5,Herbicide,-0.0888462856049369,-0.11427503586742825,-0.3579439368587688,0.07863254100351189,0.056743244382715045,-0.9161913164259338,1.232560136464412,0.745590893368662
1,Blue Mountains,"Control, never burned",,438,,53007,2022-04-29,BLM_AIM,20224125223013B2,,,,,,,,NORTHWESTERN FORESTED MOUNTAINS,6  NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,6.2  WESTERN CORDILLERA,6.2.9  Blue Mountains,23,Malheur High Plateau,1.730349458,0.5483233869545988,1,616,39,24.7524752475248,66.3366336633663,21.7821782178218,23.7623762376238,37.6237623762376,0,0,0.15254307161960737,0.9690721649484536,81,Control,1.6808178235028257,0.06577167605898805,0.7031032524597811,-1.3344425468738923,2.146177332761522,-0.9161913164259338,0.6783575089799709,0.530080341025793
