NameCode,Scientific,CurrentPLANTSCode,GrowthHabit,GrowthHabitSub,Duration,Nonnative,Invasive,GrowthHabitSub2
ABAN,Abronia angustifolia,ABAN,NonWoody,Forb,Annual,NATIVE,,Forb
ABCO,Abies concolor,ABCO,Woody,Tree,Perennial,NATIVE,,Shrub
ABFR2,Abronia fragrans,ABFR2,NonWoody,Forb,Perennial,NATIVE,,Forb
ABGR,Abies grandis,ABGR,Woody,Tree,Perennial,NATIVE,,Shrub
ABLA,Abies lasiocarpa,ABLA,Woody,Tree,Perennial,NATIVE,,Shrub
ABBI3,Abies bifolia,ABLAL,Woody,Tree,Perennial,NATIVE,,Shrub
ABLAL,Abies lasiocarpa var. lasiocarpa,ABLAL,Woody,Tree,Perennial,NATIVE,,Shrub
ABNA,Abronia nana,ABNA,NonWoody,Forb,Perennial,NATIVE,,Forb
ACACI,Acacia,ACACI,Woody,Shrub,Perennial,EXOTIC,,Shrub
ACAR14,Achnatherum aridum,ACAR14,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACBL,Achnatherum bloomeri,ACBL,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACCO3,Achyronychia cooperi,ACCO3,NonWoody,Forb,Annual,NATIVE,,Forb
ACEM4,Achnatherum eminens,ACEM4,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACGL,Acer glabrum,ACGL,Woody,Tree,Perennial,NATIVE,,Shrub
ACGLG2,Acer glabrum var. glabrum,ACGLG2,Woody,Tree,Perennial,NATIVE,,Shrub
ACGR3,Acer grandidentatum,ACGR3,Woody,Tree,Perennial,NATIVE,,Shrub
ACHE10,Achnatherum hendersonii,ACHE10,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACHIL,Achillea,ACHIL,NonWoody,Forb,Perennial,NATIVE,,Forb
ACHNA,Achnatherum,ACHNA,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACHY,Achnatherum hymenoides,ACHY,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACLE8,Achnatherum lemmonii,ACLE8,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACLE9,Achnatherum lettermanii,ACLE9,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACLEL,Achnatherum lemmonii var. lemmonii,ACLEL,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACMI2,Achillea millefolium,ACMI2,NonWoody,Forb,Perennial,NATIVE,,Forb
ACLAA2,Achillea lanulosa var. alpicola,ACMIA,NonWoody,Forb,Perennial,NATIVE,,Forb
ACMIA,Achillea millefolium var. alpicola,ACMIA,NonWoody,Forb,Perennial,NATIVE,,Forb
ACMIO,Achillea millefolium var. occidentalis,ACMIO,NonWoody,Forb,Perennial,NATIVE,,Forb
ACNA2,Acourtia nana,ACNA2,NonWoody,Forb,Perennial,NATIVE,,Forb
ACNE,Acalypha neomexicana,ACNE,NonWoody,Forb,Annual,NATIVE,,Forb
ACNE10,Achnatherum nevadense,ACNE10,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACNE2,Acer negundo,ACNE2,Woody,Tree,Perennial,NATIVE,,Shrub
ACNE9,Achnatherum nelsonii,ACNE9,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACNED,Achnatherum nelsonii subsp. dorei,ACNED,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
